"","Think_well","Live_well","Feel_well"
"BM000174","5","4","8"
"BM000175","4","4","7"
"BM000176","5","5","7"
"BM000177","7","5","8"
"BM000178","1","4","1"
"BM000179","7","5","7"
"BM000180","2","7","5"
"BM000181","5","4","7"
"BM000182","5","6","7"
"BM000183","7","5","7"
"BM000184","5","5","7"
"BM000185","8","7","7"
"BM000186","7","5","7"
"BM000187","5","4","8"
"BM000188","5","5","7"
"BM000189","7","6","8"
"BM000190","5","3","7"
"BM000191","1","5","1"
"BM000199","7","7","7"
"BM000200","7","6","5"
"BM000201","5","4","7"
"BM000202","7","6","5"
"BM000203","8","5","7"
"BM000204","5","5","7"
"BM000205","5","5","7"
"BM000206","8","5","5"
"BM000207","5","4","7"
"BM000208","5","5","5"
"BM000209","5","5","7"
"BM000210","5","4","7"
"BM000211","8","6","7"
"BM000212","1","3","1"
"BM000213","5","4","7"
"BM000214","2","4","2"
"BM000216","4","4","4"
"BM000217","1","4","1"
"BM000218","4","5","5"
"BM001006","7","7","7"
"BM000219","8","5","8"
"BM000220","8","6","5"
"BM000221","7","7","5"
"BM000222","8","6","7"
"BM000223","8","6","5"
"BM000224","5","5","7"
"BM000225","5","6","7"
"BM000226","5","4","7"
"BM000227","7","7","4"
"BM000228","8","5","8"
"BM000229","5","6","5"
"BM000230","4","4","1"
"BM000231","5","4","7"
"BM000232","8","5","7"
"BM000233","5","6","7"
"BM000234","5","6","7"
"BM000235","4","5","5"
"BM000236","5","5","5"
"BM000237","5","6","7"
"BM000238","5","5","7"
"BM000239","10"," 7"," 7"
"BM000240","1","5","1"
"BM000241","2","7","2"
"BM000242","1","6","1"
"BM000243","7","5","7"
"BM000244","7","4","7"
"BM000245","7","5","7"
"BM000246","10"," 6"," 8"
"BM000247","7","6","7"
"BM000248","7","7","7"
"BM000249","7","7","5"
"BM000250","5","5","7"
"BM000251","8","5","5"
"BM000252","5","6","5"
"BM000253","5","7","7"
"BM000254","10"," 8"," 8"
"BM000255","8","7","7"
"BM000256","8","6","8"
"BM000257","7","7","4"
"BM000258","7","5","7"
"BM000259","5","5","7"
"BM000260","5","6","7"
"BM000261","5","4","7"
"BM000262","5","7","7"
"BM000263","5","4","5"
"BM000264","4","6","5"
"BM000265","5","6","7"
"BM000266","10"," 7"," 7"
"BM000267","1","4","1"
"BM000268","8","6","7"
"BM000269","8","7","7"
"BM000270","7","6","7"
"BM000271","7","6","7"
"BM000272","5","5","4"
"BM000273","10"," 5"," 8"
"BM000274","7","6","8"
"BM000275","5","5","7"
"BM000276","8","7","7"
"BM000277","5","4","7"
"BM000278","2","7","5"
"BM000279","7","6","5"
"BM000280","5","5","5"
"BM000281","5","5","5"
"BM000282","7","6","5"
"BM000283","7","5","7"
"BM000284","7","6","5"
"BM000285","2","3","2"
"BM000286","5","5","7"
"BM000287","7","5","5"
"BM000288","2","5","4"
"BM000289","5","6","7"
"BM000290","8","6","8"
"BM000291","1","4","1"
"BM000292","5","5","7"
"BM000293","7","4","7"
"BM000294","5","5","7"
"BM000295","8","5","7"
"BM000296","2","6","1"
"BM000297","1","5","1"
"BM000298","5","7","5"
"BM000299","1","5","1"
"BM000300","1","4","2"
"BM000301","7","5","8"
"BM000302","7","4","8"
"BM000303","8","6","7"
"BM000304","8","8","8"
"BM000305","5","5","7"
"BM000306","5","4","7"
"BM000307","1","4","2"
"BM000308","1","6","1"
"BM000309","5","6","5"
"BM000310","10"," 8"," 7"
"BM000311","8","6","8"
"BM000312","10"," 7"," 7"
"BM000313","8","7","8"
"BM000314","1","3","1"
"BM000315","1","3","1"
"BM000316","7","7","7"
"BM000317","1","4","1"
"BM000318","7","5","5"
"BM000319","5","8","5"
"BM000320","2","9","2"
"BM000321","5","6","5"
"BM000322","8","5","8"
"BM000323","4","4","1"
"BM000324","4","5","1"
"BM000325","4","6","4"
"BM000326","7","6","7"
"BM000327","5","7","7"
"BM000328","8","9","7"
"BM000329","7","7","5"
"BM000330","2","4","1"
"BM000331","5","7","7"
"BM000332","2","3","2"
"BM000333","4","4","5"
"BM000334","8","5","7"
"BM000335","7","7","5"
"BM000336","8","8","8"
"BM000337","8","8","5"
"BM000338","7","6","7"
"BM000339","5","5","5"
"BM000340","8","9","8"
"BM000341","7","4","5"
"BM000023","5","5","7"
"BM000024","10"," 7"," 7"
"BM000025","10"," 3"," 5"
"BM000026","7","8","7"
"BM000027","7","4","7"
"BM000028","4","5","1"
"BM000029","7","6","7"
"BM000030","5","5","7"
"BM000031","1","4","1"
"BM000032","1","7","2"
"BM000033","5","9","7"
"BM000034","5","5","7"
"BM000035","4","6","8"
"BM000036","7","7","7"
"BM000037","5","5","5"
"BM000038","1","4","1"
"BM000039","7","7","8"
"BM000040","7","5","7"
"BM000041","5","5","7"
"BM000042","1","6","2"
"BM000043","5","5","7"
"BM000044","10"," 5"," 8"
"BM000045","5","5","7"
"BM000046","7","4","7"
"BM000047","7","5","5"
"BM000048","7","4","7"
"BM000049","7","6","5"
"BM000050","7","6","7"
"BM000051","7","5","7"
"BM000052","8","8","8"
"BM000053","7","7","8"
"BM000054","10"," 7"," 7"
"BM000055","4","6","4"
"BM000056","4","5","8"
"BM000057","7","6","7"
"BM000058","5","7","5"
"BM000059","4","6","7"
"BM000060","5","5","2"
"BM000061","8","7","7"
"BM000062","7","6","7"
"BM000063","7","4","7"
"BM000064","7","5","5"
"BM000065","5","5","7"
"BM000066","1","7","2"
"BM000067","7","4","7"
"BM000068","7","6","8"
"BM000069","5","4","7"
"BM000070","1","4","2"
"BM000071","8","4","5"
"BM000072","5","6","7"
"BM000073","5","8","7"
"BM000074","7","7","1"
"BM000354","1","5","1"
"BM000355","1","3","1"
"BM000356","8","6","5"
"BM000357","7","7","7"
"BM000358","5","6","8"
