Report Level 3,BM000174,BM000175,BM000176,BM000177,BM000178
GABA,16.92306680450292,16.739452588739585,16.841139398932185,16.6248319739018,16.038850834227027
Serotonin,12.187754387963754,11.789426539227248,12.09834138678599,11.86752061027226,10.886354128913965
Tryptophan,18.00482111538424,17.874761070536874,17.888106493530426,17.750654099607708,17.034248897933896
Trimethylamine N-oxide (TMAO),16.397396547801595,16.283594466676792,16.325205830633813,16.100016931894768,15.240402661286799
Indole & Indole Derivatives,12.89900187050952,10.466392605943485,12.921160330185549,13.255283852307262,12.071234409458599
Cysteine Derivatives,17.857593755702336,17.774638894232375,17.760796172863675,17.473720904432344,16.865325546552572
Bile Acid Pool,15.44409508044816,15.686528978109495,15.971794324355008,16.002194534753833,14.647012855855504
Imidazole Propionate,13.784049286163615,13.17072001789754,14.264625857774119,13.922857530092312,11.970551719488311
Oxidative stress,12.904395036883143,13.005901115250188,12.759880549564384,12.89504443577768,12.217277163127093
Branched Chain Amino Acids,17.533642225345595,17.294611356016084,17.405662918670203,17.253829761352236,16.52951469110969
Butyrate (SCFA),18.4232955097553,18.2766462180059,18.290911177705112,18.13089103388528,17.4535417931648
Lactate,19.741760801344288,19.556906936441514,19.6132272211302,19.502156002377323,18.658897791945726
Carbohydrates,18.86313868469452,18.5929896886286,18.73413967083237,18.602491193024118,17.858333170786487
Proteins,17.887298990018465,17.705525722117773,17.82108800261216,17.601587022243148,16.95839490410063
Fats,16.352513632422706,16.21207720824707,16.480925521550674,16.32732234883777,15.492493053239345
Vitamin B1,17.683818468870097,17.51815619865404,17.624925356237444,17.41110406788818,17.007483655995863
Vitamin B6,18.017456390944584,17.997203384860654,18.015561310052547,18.118980525944487,17.49908267062177
Vitamin B7,17.12360723590251,16.90394392932442,17.02736507886611,16.75424077176258,16.146281655405556
Vitamin B9,19.104813557380304,18.81445386000254,18.943280133394126,18.908589599506122,18.232872503034642
Vitamin B12,17.101462063501625,16.98230058254603,17.103774488342232,16.885084476702215,16.375931132414003
