Report Level 3,BM000199,BM000200,BM000201,BM000202,BM000203,BM000204,BM000205,BM000206,BM000207,BM000208,BM000209,BM000210,BM000211
GABA,16.60815283445939,16.813435762161795,16.925162905051895,16.757806293349127,16.74180877620544,17.001943925264744,16.975456951561224,16.612511059809254,16.85529239986557,16.794212212698074,16.90419613628159,16.862152715229925,16.676878683227816
Serotonin,12.177943976923025,12.267885532910986,12.315113352874171,12.18841211401219,11.977813607629765,12.328212736539633,12.187785930042567,12.01217182751127,12.237923661253722,12.565092198484207,12.815594920931847,12.41092176722961,12.205840768375017
Tryptophan,17.5705235165665,17.638544148827215,17.831771795663954,17.561932688175062,17.62849437295435,17.701525792200954,17.754003255697683,17.566264902266557,17.907714147239258,17.689780331536365,17.757696395860123,17.754580824473052,17.588606108074025
Trimethylamine N-oxide (TMAO),15.567162576924732,15.380799579791699,15.920878742123131,15.599356153833373,15.872506075075526,15.618126502862207,15.67004845220191,15.820498107431618,16.342354767335635,15.782304891660337,15.650395465619656,15.90129094286698,15.883438012781072
Indole & Indole Derivatives,12.913534588423168,12.85225249160444,14.157446417251998,13.470238153754766,12.786477929277916,12.800782635748389,13.346330891563102,12.287325685459168,12.044564882812626,13.689388714588759,13.96687851445341,12.065251188110352,11.853106784013658
Cysteine Derivatives,17.356603119961186,17.491341299663052,17.73019620928548,17.4683074323223,17.48244438592067,17.63785400091077,17.72822214969008,17.49448070877232,17.671468932920757,17.585471310861195,17.6855387610626,17.757346734638137,17.6379855105971
Bile Acid Pool,16.13960960499107,16.221806295484217,16.406023843190265,16.216353496359858,16.127326565457828,16.38879822534496,16.572870651349756,15.49010815882787,15.064362171743555,15.614062619638702,15.538490422113668,16.03555400086461,15.50107583804225
Imidazole Propionate,14.796134612200865,16.1652612459174,15.606409261307116,16.159014060264063,15.963272260430456,16.62171870416202,16.390467022135766,15.092070533153256,14.102936928543365,15.232219791813298,15.549302363633045,15.79434089157797,15.043797714596426
Oxidative stress,12.742134668218549,12.467899280806265,13.021213663644017,13.083817805709009,13.342447422575272,13.559318530642877,13.060559710124432,12.19416278984448,12.840646804661995,13.16459062698704,12.943026340355196,12.426257756146317,12.717066597052455
Branched Chain Amino Acids,17.08737019082479,17.1175423583792,17.311689165140255,17.063636282768915,17.149995008831947,17.19424030048305,17.203717348034747,16.971162974304722,17.40882146973279,17.206328962134506,17.286325132282315,17.194448117579405,17.03750459304791
Butyrate (SCFA),18.01570722190645,18.21144117255491,18.362531052156232,18.190933924421277,18.159921348755045,18.30182542137024,18.277171778631747,18.02612129456044,18.281414578343977,18.205712512122492,18.291036514005402,18.30218646767986,18.142514569570235
Lactate,19.27942481680224,19.321174560848316,19.55615473779557,19.282968266966122,19.307384993509896,19.38360538979456,19.411034213332893,19.13519866079015,19.556400762074787,19.346157832977358,19.31159638386954,19.408642762432994,19.259790518837512
Carbohydrates,18.50168459278807,18.743621312017975,18.861880155604933,18.65832860106828,18.649280275336963,18.91660190061171,18.885940914847765,18.492596751997315,18.737574915194088,18.69089629871341,18.73349673095966,18.735962508638018,18.534310818912363
Proteins,17.621664392150336,17.781274265510483,17.89498106419372,17.72839782371387,17.714265631662823,17.947268244025356,17.924622051950507,17.57722484735279,17.817132643397375,17.794699427998566,17.907164366451468,17.83696690868289,17.657526905768503
Fats,16.28113572131821,16.4463996136559,16.627664562945995,16.51607349003624,16.473022460446494,16.6732890925951,16.64637425243452,16.164921288363146,16.39662753883435,16.46344278353266,16.527826876437594,16.526095758422034,16.26101467954086
Vitamin B1,17.195054102682384,17.546508981256835,17.65493530971844,17.505339751347286,17.580451616491715,17.59950866523987,17.652495794068766,17.413084655270314,17.589604437804567,17.48092332196719,17.560544718218583,17.534283783096086,17.297228608848076
Vitamin B6,17.95299688470564,17.9483846143444,18.0974383793421,17.890501110072314,17.97592895895264,17.970751556210562,18.002878839565238,17.61401148789048,17.89413830620103,17.867703951203286,17.92961965851809,17.877905974772872,17.7366939020379
Vitamin B7,16.789893789819846,17.255834778353517,17.245612430469905,17.174851297470056,17.116310208602243,17.470518110064784,17.42229733205453,16.937412466576035,17.006095543196597,17.0720677404836,17.258287101220585,17.21026623277927,16.96145057618558
Vitamin B9,18.716623619986958,18.922398262385048,19.067350447780182,18.81994547434016,18.79775666181886,19.082413977018366,19.00949895518827,18.85471235926148,19.1222278202453,18.941474551321566,18.95497486342481,18.98072933137177,18.771236217037718
Vitamin B12,16.756354550015306,16.918736732765794,17.127466793558682,16.975844303510165,17.049949879056324,17.18068643857374,17.169691501468826,16.89028341749714,17.319835033172907,16.943797611533597,17.134148293462808,17.162839533376175,16.896461172036318
