Report Level 3,BM000212,BM000213,BM000214,BM000216,BM000217,BM000218,BM001006
GABA,15.95429740548128,16.887572329484577,16.54796322293253,16.559223562970185,16.103496918460543,16.511403681317145,16.92290167270239
Serotonin,10.732890542664878,12.505245428149403,12.28594728814273,11.96866837699129,11.276396455618451,11.87380155053012,12.34780853033111
Tryptophan,16.928296205600102,17.699464995398163,17.348263874563727,17.45010142819176,17.082093946262052,17.509611016617875,17.63382498081854
Trimethylamine N-oxide (TMAO),14.909896364322863,15.899619142905381,15.495471885032275,15.197849423118562,14.878279908976175,14.86225280716414,15.326827956931055
Indole & Indole Derivatives,11.080511105540747,13.777529647780012,14.492513554186967,11.873555617151275,12.719677587756154,12.04459220308969,12.407060587710735
Cysteine Derivatives,16.80232402493623,17.690503088238234,17.26745278795954,17.38838319495438,16.80880677365198,17.038255858886256,17.717191538979854
Bile Acid Pool,14.224476563565693,16.078685275780035,15.97091565099909,15.859132539274194,15.036257981983937,15.252601500131535,16.130056587567378
Imidazole Propionate,12.671496838718168,15.965661501581,15.314158126132385,15.333225945579075,11.859930735526055,15.024359680080556,16.562663485762624
Oxidative stress,11.907202394434583,13.40577791457561,13.331161418280068,12.487861809713731,11.314611565453628,12.744557063201684,12.750960942672272
Branched Chain Amino Acids,16.250024666314175,17.321921314627403,16.976112539317217,16.903190436163296,16.511123190162202,16.906617795024026,17.11893509256502
Butyrate (SCFA),17.350466571635653,18.349753522324466,17.950603271720333,17.91979537427513,17.497940881773356,17.686952866015584,18.284004080700967
Lactate,18.529870620957734,19.493685484108624,19.17219826828249,19.146137801304818,18.7350686006641,19.37747758052256,19.238729606767514
Carbohydrates,17.760025955865622,18.879319452896915,18.451486531206125,18.45927576386858,17.875677006708546,18.55482809745196,18.81827329941235
Proteins,16.88314871708898,17.87541094374518,17.548503268838758,17.558080481620625,17.050755516179716,17.553097902677965,17.879905534676443
Fats,15.339872064762497,16.568390211519276,16.215312339409486,16.086533662127465,15.551580584428459,16.090871709006723,16.575629155439746
Vitamin B1,16.83894382904742,17.538671066174263,17.017444934602327,17.194332410805558,16.83879351135064,17.1855677365828,17.6149078790607
Vitamin B6,17.4391228815377,17.902402011071114,17.699656136579808,17.620280565476676,17.592091941021433,17.994325065566432,17.875842159184508
Vitamin B7,16.107307629494176,17.20272942501686,16.686609991784206,16.94864780565629,16.03187181709625,16.591337980360386,17.49448746689665
Vitamin B9,18.119917043444406,19.03854371185252,18.593507734104175,18.706244523121054,18.28805049727303,18.767291101573225,19.042816908971965
Vitamin B12,16.23987792740155,17.15427896715295,16.6691374656511,16.565714218965915,16.0282692847278,16.635709422252447,17.137283781480846
