Report Level 3,BM000244,BM000245,BM000246,BM000247,BM000248,BM000249,BM000250,BM000251,BM000252,BM000253,BM000254,BM000255,BM000256,BM000257,BM000258,BM000259,BM000260,BM000261,BM000262,BM000263,BM000264,BM000265,BM000266
GABA,16.776789105001125,16.770693587034625,16.68295594757834,16.781812536497387,16.859566034407294,16.78294206748349,16.866398140071514,16.69520845348679,16.616192166281877,16.78515472065964,16.640110379256758,16.695636848133237,16.702252204323347,16.577502639755668,16.88052379248186,16.777859476491393,16.931824312248853,16.89023246949196,16.903584613399655,16.79313966740649,16.576092218753914,16.85653628346322,16.684663826180127
Serotonin,12.085731463758547,12.296151679876948,11.908798762571209,11.915689247178577,12.706671941016287,12.450954907664983,12.525419552623202,12.410778915271454,12.453378754910117,12.346838441513519,12.021956655719324,12.340769149817204,12.368341638916956,12.058265653171322,12.081755174437026,11.820919549919843,12.662292233423477,12.462825692456343,12.54207639536302,12.526926971481254,12.268653487605414,12.430521835953897,12.102011442516545
Tryptophan,17.712792759259518,17.664212469849588,17.57290854243053,17.79945073625671,17.66477141214906,17.65315414411427,17.72391253561027,17.62959552247128,17.53293446188903,17.734463827452494,17.601266324860937,17.592333665770205,17.638656387687032,17.50443093422815,17.748423132283424,17.796489722165845,17.760440842001444,17.803613590131608,17.801577622014943,17.760452100898647,17.485495230222988,17.771816280825842,17.597731362972755
Trimethylamine N-oxide (TMAO),15.752209969815802,15.878205656852964,15.53505692642934,15.934981984082821,15.631815370703771,15.617144579084922,15.576831220342408,15.831083042499762,15.668886368916075,15.832590163056155,15.87969499863266,15.364738957993834,15.563544865508,15.630411899264029,15.277660813349515,16.04361219152362,15.659064650167315,15.787642689719798,15.773413550315265,16.06257005701514,15.750174669206508,15.7743881429188,15.74707894428913
Indole & Indole Derivatives,11.908343829533697,11.747194360480037,12.049586526794132,12.816419710397255,13.739135049158271,12.928140812018444,12.869084839120942,13.055062082260305,13.42420828806239,12.607369617406047,12.447388061507246,12.373803159630832,12.84066975674408,12.363335368857648,11.946635835146385,13.275820418347529,13.500017744867813,12.877512292926092,12.722871554676768,12.83127557067631,12.712056199233789,12.2408628689854,12.367649538676673
Cysteine Derivatives,17.590378995505443,17.560640732548656,17.47431368779574,17.51498535058009,17.63092099668307,17.593630778769455,17.581522227274267,17.50048142524028,17.420143695149804,17.618349767122552,17.48238030212974,17.472239672687504,17.40973080128629,17.427654651383232,17.641655275386675,17.598747982013773,17.725301412920487,17.70844412927919,17.751709728854927,17.651337672862518,17.42490934721847,17.703056752508058,17.53483791134087
Bile Acid Pool,15.587336713392068,16.020779779721586,15.77162345213652,16.0860137624613,15.884622840909577,15.824326080661242,16.092562051777893,15.541698923711554,15.140032490253498,15.804135685930085,15.869546975131584,15.763700610104353,15.683301419919891,15.540315599756129,15.990965714949228,16.095913503182462,16.011035459994783,16.120857196714738,16.166604440258713,15.587302574478233,15.293887944236742,16.102496158260863,15.692735221891393
Imidazole Propionate,15.4746523534638,14.498380528705553,15.463875125453974,14.618735350094033,16.12947018482399,15.493858994694547,15.902860736306543,15.358200858402801,15.372695049266058,15.466533873389553,15.130900576939771,15.27777315984814,15.30016425259666,15.32229787898516,15.134576061050254,14.809690767640374,16.147890169545516,15.858972215882389,15.959039873516817,15.318537867023306,15.076740730256272,15.837478792775716,15.34127812466372
Oxidative stress,12.177092465123806,12.136389853196194,12.502226834057923,13.04009503654039,12.816826329732487,12.779150946076067,12.998948238612877,13.029453455206355,12.507048823814175,12.711978792548942,12.530544527789393,12.485786550370065,12.81577620057163,12.559217730369717,12.352646731393694,13.011853283475334,12.86728775652549,13.130683168416173,12.850107373909015,13.43527655199302,12.395455599090187,12.701519449544351,13.005231543712638
Branched Chain Amino Acids,17.179994009085277,17.133493883660034,17.00289938127129,17.297852410351396,17.178012720272946,17.105769301257556,17.194384599042543,17.114248155814845,16.959752801005386,17.185832387262582,17.06464296036822,16.995318410312663,17.083632473622707,16.957243583875233,17.11821066843909,17.262207673580683,17.241216278700204,17.23148005418013,17.26486796669103,17.218795229105748,16.92592314111174,17.228526803575882,17.08373408989167
Butyrate (SCFA),18.202475096880818,18.15756086721932,18.077730154120278,18.110734868434182,18.28022388305668,18.215205973168068,18.260047121764266,18.152679667409572,18.076941238796252,18.236479783765347,18.074110618626623,18.096511892683676,18.05195270784131,18.005196540307903,18.196291382681068,18.181180855063936,18.336286116262738,18.314852497793968,18.372828913233352,18.292166490162792,18.038727487572515,18.3308726858013,18.121430798859347
Lactate,19.329473476136233,19.45272612524246,19.208022252076635,19.4798877216042,19.28417826811976,19.252222721561534,19.37237265198719,19.25594393936428,19.11307465762119,19.368219232026888,19.32053646125389,19.212567876489192,19.24667210851041,19.1485006054624,19.367788310836517,19.483076679411333,19.38599423963648,19.40335296245955,19.415756955667984,19.43232805460284,19.139285343218567,19.403167056347932,19.238297399526346
Carbohydrates,18.595258222773893,18.606456208440367,18.558248363460798,18.670742319725743,18.710127447422302,18.632471940417524,18.73242380546807,18.51290349352956,18.395568586239705,18.65304133081972,18.586701279613926,18.53217833093391,18.555524433634268,18.406538541914955,18.803117519403074,18.68617895919887,18.800631817863312,18.791210765255915,18.792765132436127,18.667989665664418,18.398442592272787,18.75359586914441,18.55415670612179
Proteins,17.719105647672382,17.778069915657003,17.639216520307166,17.749247256037844,17.866880046475753,17.76733567175854,17.86175905752306,17.713141363767203,17.6339914131047,17.775238426261684,17.66566045722004,17.695980995462016,17.710944420859363,17.567141702706735,17.83125981798626,17.729155017164096,17.924420110852957,17.8587284137226,17.883884357406174,17.812018759196377,17.575636861504304,17.832191126009917,17.66013900822485
Fats,16.259136518011655,16.36017566507255,16.212743010704042,16.34270192647295,16.5370933243305,16.38697749740575,16.493107365326324,16.31938535963222,16.174936187163702,16.399165329745372,16.280874362265777,16.261720276479814,16.311707387458995,16.15993958219047,16.43959632472765,16.380148511006485,16.5695839473638,16.516147937861323,16.58200706236577,16.42996712694607,16.156015938356454,16.47753098423688,16.26360481866895
Vitamin B1,17.469055062574682,17.27129502377722,17.395371294252843,17.44756729574174,17.5017061665418,17.465793589549072,17.522059098746755,17.345154493768057,17.266840895980454,17.494304076115455,17.263367578013174,17.32155520812768,17.317173543360763,17.258636860381106,17.630649074338614,17.511475397774,17.587300200841312,17.61079386632937,17.652801575287157,17.392689219047732,17.277979332353784,17.587988249159196,17.38614105856587
Vitamin B6,17.89861262003813,17.82476634620066,17.822191557710596,18.032690923201802,17.908444137137117,17.86058574178687,18.050627132008273,17.81437926282437,17.744812260755623,17.947301021408318,18.11461331168225,17.85953102531526,17.943253520839725,17.727264843263622,18.07489068093848,17.925374178655616,17.94064885056667,17.927446894717637,18.038267033250747,17.87143729872217,17.61285527209404,17.919933939398486,17.83937550458191
Vitamin B7,17.010055048321014,16.761087785205547,17.09039265911889,16.91632344372562,17.29051548907672,17.233316758760616,17.180651807073566,16.927109609624903,16.816100849615328,17.08711166578361,16.91340325857476,17.009606972701807,16.90135100481016,16.869270615104668,17.447996909580024,17.066571462630165,17.385086207538063,17.32977647580522,17.30505140116513,17.032290805807897,16.7563653143608,17.240016784172322,16.992144786116643
Vitamin B9,18.99696791064511,18.88410357494294,18.831517363773013,18.937402759959316,18.959739834448765,18.9010898871779,19.011696412427764,18.825186379549994,18.76707069420565,18.934135582686128,18.93444532520734,18.835840711460055,18.864593124103116,18.695597277204996,19.02062563903865,18.914577823083686,19.03364953330152,19.024836747994666,19.027445591203037,18.92937645423655,18.697842482047598,19.02005388215097,18.844480524919444
