Report Level 3,BM000311,BM000312,BM000313,BM000314,BM000315,BM000316,BM000317,BM000318,BM000319,BM000320,BM000321,BM000322
GABA,16.65937641706867,16.685374195405426,16.63786769992419,16.44432714116298,16.230745141094232,16.744095205181473,16.393310185187264,16.775098341305572,16.58627709137208,16.557007888566286,16.771813189720273,16.64728572725379
Serotonin,11.87532907360713,11.980310441178457,11.812891254849898,11.674232131536861,11.20315422341864,11.938041638556719,11.451265160359101,12.06195753544001,11.713370446713384,11.722557428123908,12.247994663640114,12.346643785929128
Tryptophan,17.656474355209617,17.607189769853235,17.58665220064152,17.3867679091022,17.164484399550712,17.718301485832104,17.357976348111755,17.694351309590168,17.593633565063108,17.54401527961637,17.732642357845197,17.649547882370037
Trimethylamine N-oxide (TMAO),16.039372117389618,15.941184503606003,15.827361561572195,15.510127471629842,15.125079639114858,15.922700999127436,15.56045016784144,15.808999608570094,15.746625059268158,15.663934405531323,16.050649847755725,16.035173469710166
Indole & Indole Derivatives,12.546720863142061,11.511974969777167,11.904262046675182,11.016766510198241,11.572690753737605,12.138066966460041,11.677147029987971,12.565970766759985,12.466091760308146,12.55373247699745,12.72973968877075,11.840596985390183
Cysteine Derivatives,17.56622356985784,17.53190195227511,17.559425818903794,17.27239568886022,17.002522817423195,17.6772062838122,17.286402647670332,17.600494084939186,17.40209098266577,17.460869082488458,17.689876713787704,17.540043923327296
Bile Acid Pool,15.693769659041441,15.957239351402164,15.847904690332253,15.538799425724363,15.478614959989931,15.74830660412495,15.504464755317041,16.060921862767085,15.829310105926734,15.732520025456603,15.952874878632453,15.344087118189414
Imidazole Propionate,13.957209677256204,14.628933802485074,15.0239884864074,14.42383156364112,14.099866091302667,15.010836935795178,14.163436887961616,15.58356840210087,14.831881198719604,14.833815130427169,13.977651409000412,14.530956960600564
Oxidative stress,12.81896490821329,12.745176394863101,12.418553654573126,12.24323448135914,12.227375273626212,12.830995094603002,12.73332398047892,13.034556544689154,13.515388156868005,12.71002649186603,12.680317762998015,13.829645772783392
Branched Chain Amino Acids,17.151892117385156,17.06681363644001,17.053185350721982,16.841293448442347,16.63793652548878,17.19145780867696,16.797112305656935,17.181660384193425,17.069857964175235,16.984356260819254,17.262861373573045,17.09708967545332
Butyrate (SCFA),18.09830604744941,18.14030576074428,18.07498500721194,17.833304699724394,17.603181060185687,18.201158289468193,17.819004702153624,18.189189618500816,17.995766166178047,17.976222581210777,18.21625595012738,18.13888352773418
Lactate,19.40323811017311,19.386032153128255,19.28894875773351,19.125603562414433,18.868527153880674,19.414558793800875,19.12202887002817,19.391290628320537,19.28147472988243,19.276163177182468,19.491833718986122,19.455035555286184
Carbohydrates,18.541340527213865,18.530481046865443,18.499615613040106,18.29262863392007,18.09568493294354,18.646673979332952,18.295100847350938,18.687939816221423,18.521961675128907,18.433693652667205,18.66342302347185,18.582809921923374
Proteins,17.627114657164388,17.667679271789105,17.604446756752225,17.416068226421025,17.178341143835553,17.700825348688088,17.353796550281057,17.744626323504324,17.535898725710535,17.521469921136916,17.764600604590875,17.67470930652654
Fats,16.23217384786673,16.233975861782405,16.202589656523454,15.933263840638444,15.733652402214396,16.279985966247605,15.871210378814835,16.322608686677725,16.203829121273824,16.067017319769416,16.40676526988291,16.201934277777678
Vitamin B1,17.36594601508681,17.171407884648062,17.396221869857087,17.156741230828388,17.044241220889663,17.471385296903907,17.11966638344837,17.475470749522223,17.3031750871995,17.1985521460725,17.47937855048545,16.98718809424499
Vitamin B6,17.773288862466252,17.794547213220504,17.852650977491535,17.576961184189155,17.62967653598806,17.872414916265516,17.60726156590113,17.884136004816828,17.80780284864759,17.780896613379337,17.84472329297175,17.84792262342477
Vitamin B7,16.773787809944128,16.823184191974715,16.930018443952534,16.58630628555308,16.34155065113735,17.021132616194976,16.50858417208037,17.116012432281533,16.899882306256117,16.678921070588924,16.936459960366477,16.74892137863681
Vitamin B9,18.78704491287648,18.765709176566048,18.7628425072092,18.576855551129366,18.371038035320435,18.904214021250187,18.529728555455215,18.91343520770314,18.771742403524293,18.707936013515088,18.85868311937236,18.77104294379394
Vitamin B12,16.92762011586141,16.745273928711843,16.907290035807055,16.481890007119034,16.25274824091683,16.921656450643816,16.40866445641669,16.953279330038644,16.847866935016512,16.602300036345277,16.87089880008336,16.43166490239188
