Report Level 3,BM000323,BM000324,BM000325,BM000326,BM000327,BM000328,BM000329,BM000330,BM000331,BM000332,BM000333,BM000334,BM000335,BM000336,BM000337,BM000338,BM000339,BM000340,BM000341
GABA,16.503410147257426,16.4856087077013,16.567796174982124,16.645591872549634,16.744803583989235,16.631928183261536,16.747760353705434,16.472812709020367,16.761767524396685,16.530857508071204,16.57397299216922,16.690795200080156,16.598155301609506,16.653411948258643,16.67150740933197,16.731160251577087,16.804326570820187,16.679877778229255,16.819469745251254
Serotonin,11.95202933230516,12.041923918000514,12.651377180471593,12.324920553883999,12.411871299000737,12.357867339770761,12.44531973045572,12.577742070345662,13.034144443966966,12.526604258622566,12.283632879205513,12.157303698079414,11.980618658532297,12.247423431267057,12.831839446253031,12.406502311360246,12.435064826994749,12.427167571993657,12.487375177049898
Tryptophan,17.449745089816815,17.48477889714997,17.495710747046637,17.547262992133778,17.697221313132154,17.590360040171195,17.575079903337404,17.38733267213679,17.688013732151397,17.33473425018909,17.467968776188513,17.636135159218078,17.536997876795514,17.64280747660842,17.582273750669643,17.642898268197758,17.766466197596298,17.631929455389116,17.66017679823858
Trimethylamine N-oxide (TMAO),15.36260172996022,15.404628356035108,15.377091882825601,15.50970419129699,15.807621578624937,15.721089039380246,15.681657617639418,15.311193789597239,15.577049338947733,15.28483711044188,15.428398778413902,15.847382346637962,15.617075687339993,15.80997532542736,15.616944496878874,15.714587634125667,15.958959548812643,15.764052846669507,15.89130810495555
Indole & Indole Derivatives,12.230446814607372,12.700708464420115,14.300558481481984,13.51104842697434,13.314278756477394,13.077885532987322,13.069780361146742,13.428911024178673,13.654821723289485,13.977985533647951,12.804397265833472,12.219077744008958,12.487410476753162,13.060532133275405,14.6479766332616,13.722095611763539,13.45118019660736,13.187601058898192,13.248963781639725
Cysteine Derivatives,17.255876453669824,17.31686920418634,17.335058134376876,17.388742622470417,17.556296664288215,17.438280894229543,17.555989319732777,17.222180608072662,17.52565493911951,17.332899990261524,17.398120677191596,17.551363570958173,17.39328999490722,17.506289014155257,17.470655522129093,17.510621399307333,17.651000998578255,17.527650215588917,17.654273295483808
Bile Acid Pool,15.689188575452823,15.672023202092722,15.616473605730226,15.932902848995612,15.921870218281068,15.620229993767783,15.765757974712786,15.174984376593173,15.093784794129405,15.538064922378565,15.283439467882953,15.593124824100935,15.864921357345345,15.731085104519469,15.709231931117507,16.063275097498842,16.02502738820518,15.813867725277456,15.845932616987858
Imidazole Propionate,15.058873961754669,14.370321415451324,14.592767687823322,15.043026428917138,15.053682694651082,14.629357758569565,15.635348558086745,15.06357344366159,14.782475454548905,15.219226516060703,15.202218482278342,15.201192499701236,15.221706434702215,14.728316662800822,14.767140599204035,15.174347841375564,15.078068502704445,14.70709952931793,15.672741891286128
Oxidative stress,12.263275069746568,12.12825215227739,13.083054883191163,13.004118617162849,12.797202850183274,12.833050825360479,12.806749640083034,12.259298972302332,12.353624694227499,13.109497147546065,12.247135356086261,12.42593096180366,12.605264208929887,12.600378319757178,13.356382268540187,13.255484018254016,12.990460337860826,12.99985205981808,13.0788224021
Branched Chain Amino Acids,16.867293301501352,16.948147269533212,17.01866395328134,17.07284097596925,17.205753356373187,17.03165726999169,17.052685249096186,16.806408270619666,17.02920931652808,16.884900110955996,16.917235118584678,17.121072314820434,16.968673842649217,17.121189881240102,17.127612961418617,17.191890629330825,17.30013927939927,17.12958911437498,17.169663617458237
