Report Level 3,BM000023,BM000024,BM000025,BM000026,BM000027,BM000028,BM000029,BM000030,BM000031,BM000032,BM000033,BM000034,BM000035,BM000036,BM000037,BM000038,BM000039,BM000040,BM000041,BM000042,BM000043,BM000044,BM000045,BM000046,BM000047,BM000048,BM000049,BM000050,BM000051,BM000052,BM000053,BM000054,BM000055,BM000056,BM000057,BM000058,BM000059,BM000060,BM000061,BM000062,BM000063,BM000064,BM000065,BM000066,BM000067,BM000068,BM000069,BM000070,BM000071,BM000072,BM000073,BM000074
GABA,16.852124262637815,16.705816154595816,16.70211174325651,16.772702501247885,16.8203758832319,16.536508704753153,16.856136644571812,16.961658625636222,16.484288939150805,16.530032767956,16.80960615047583,16.860123131942697,16.750452074324507,16.832779423821673,16.595939658298942,16.265529010335612,16.70695300415693,16.88866423759026,16.860678663953415,16.51486373800199,16.794281146836887,16.67450148819809,16.86508527525366,16.859894035949626,16.785810003021115,17.003029601194054,16.781413580477135,16.83920467895298,16.80836517809455,16.676085632978918,16.74316812041899,16.667165880568554,16.563762820141417,16.813083087307444,16.827904170162853,16.60918537087562,16.60185453122142,16.569629077934266,16.77782670295762,16.797691032920735,16.74496523126183,16.80658211951389,16.819106329851575,16.538370809795783,16.886472376901484,16.74128705043137,16.929147262505285,16.448633398441345,16.786362891018506,16.87266860573578,16.883151833442774,16.52165004531422
Serotonin,12.188575463319816,12.0704129767862,12.027732109555128,11.94883712610415,12.02627755479454,11.905170584530055,12.077344187823691,12.354501859037265,11.659860889803866,11.647823101582297,12.119275954469565,12.235726521411763,11.72151078524061,12.027600808035189,11.698309998372146,11.286625158957303,11.70541817011972,11.938802160819867,11.886316705575489,11.604702170156038,12.098761374442056,12.01403836436634,12.159188417218909,12.036437979371225,11.924559675864103,12.001558684267756,12.014201493465732,11.96271836799561,12.002037740619674,11.868806931923256,12.036318767851933,11.95536115801797,11.54841119234776,11.776278637718748,12.052192588792606,11.999018062684272,11.561331530892014,11.750963098379222,11.968565534623057,11.983467611730976,11.919237425030303,11.952472008765026,12.156099134242277,11.780005198734036,12.073712103412035,11.889976203327578,12.199284292334273,11.353637126130744,12.068415644463169,12.206446803444916,12.185308272370795,11.935597903697628
Tryptophan,17.720308135761393,17.63422636730309,17.628627189200294,17.756485480575325,17.75380559451049,17.42925638401709,17.68386004732724,17.816057612643498,17.35923704802424,17.43739321158687,17.772418562250337,17.801840360610242,17.76815366252828,17.85458917793283,17.59634001885886,17.19261189165081,17.64757097872663,17.804131137171797,17.746904982839734,17.502950524327275,17.72212143432098,17.66012391980388,17.92064318439612,17.93134485865173,17.711373559578806,17.795881871364283,17.69434163762885,17.873398042844478,17.73187578397818,17.664878527877285,17.70085660362462,17.64643815264131,17.595638255153954,17.776946114131164,17.77087149249022,17.44521540738503,17.55822503582951,17.560660916723446,17.66473475739278,17.739823485283992,17.77349703443848,17.873165048210495,17.73471419544672,17.501301531579074,17.824529695662026,17.658877079580698,17.81529101469586,17.459820500870325,17.566304204905784,17.80480793946303,17.90520317814886,17.592220719954216
Trimethylamine N-oxide (TMAO),15.522200517755056,15.603532754527237,16.30521032227008,15.80198515199893,16.020421593635664,15.784514973802189,15.615182173506701,15.73626265505319,15.445678020073906,15.60335366979114,15.745916135807141,15.849022384126188,16.131122246337238,16.042021405340847,15.959498041502087,15.426974590982319,15.816802175350265,15.963775511931575,15.918767756169771,15.7026047905129,15.817911749687426,15.88327714562946,16.138931711006443,16.265094707862833,15.867694767488667,15.479766372465853,15.780109878319116,16.097687534208738,15.951889354348852,15.880094544234655,15.807847946461857,15.596548230176166,15.75732307168122,15.541251224758899,16.04211441331023,15.620403416017671,15.7668068407941,15.569988185438833,15.858268086970359,15.86601640869249,16.132090198347154,16.183105554302124,15.559846081389075,15.766218565349103,16.057580788820133,15.901433079136778,15.913284704332542,15.657701126165625,15.544090548247121,16.061642474157537,15.731004467999117,15.5919666922548
Indole & Indole Derivatives,11.882562812501796,12.144616822105805,13.97551752148258,12.55584011543879,12.811824211241978,11.354458772446502,11.510937201839749,11.889922185481574,12.024280889399094,12.021434614723882,12.421047054928092,13.330359518304817,12.12444769112488,12.63983132243796,11.875054325589058,12.08776779050721,12.351535578411685,13.585070510955005,13.55457086583945,12.440682331695074,13.127465622713187,13.524408262020948,11.661069934762523,13.265853815607647,11.9232049031355,12.258489480693477,12.296443067535339,12.4831330557696,12.152617587277701,13.082440146244709,12.49543284693936,12.662477012158005,11.794180271910927,11.740843256770978,13.407423127123247,12.669611465900802,11.665389217741486,12.454615459062815,12.266523037424431,12.6204558252463,12.4607502415996,13.19681110853758,12.932630002314825,12.73201051026215,11.496998538831571,11.917603309892002,11.966837067822818,11.727256798326366,10.976306348419994,12.321919641571341,12.867226607121468,13.417628394630356
Cysteine Derivatives,17.692220531659107,17.550173891662965,17.70738740381625,17.623955142835023,17.605367135912836,17.430855623420985,17.690212364795254,17.811311958093533,17.329257941993138,17.432797539845154,17.496282108551522,17.59891388966014,17.67852011857885,17.749937471023248,17.517289335920445,17.12074661551263,17.545604266518826,17.570015737407125,17.550221654024313,17.356927287990377,17.50322379088281,17.461727245328323,17.729910695161344,17.73312992164537,17.526736897455375,17.92578315751816,17.58402815356998,17.65380892115423,17.65753750317733,17.518932162214046,17.52377359440693,17.354515058180553,17.454664773339964,17.50631257150723,17.645236712307515,17.418213291835695,17.514219028921058,17.3803488744119,17.719270035443902,17.651136487955174,17.67976271414453,17.654675896187808,17.547797082394982,17.328454677958106,17.763895290748216,17.739034721354667,17.796172560581844,17.3593705491944,17.631936266331163,17.718349009030867,17.67918666486104,17.235625297437462
Bile Acid Pool,16.00900015924724,15.908144777017586,15.408026493467851,15.887337962968614,16.154374811658307,15.422403350992107,16.15608811417476,16.47281552138814,15.521984524548612,15.496444529351013,16.258851692348596,16.1454436175731,15.761493707364824,15.819227466429695,15.591627383428126,15.240611542974904,15.918098162956388,16.538498682266788,16.479301480469573,15.49153261838154,16.178867599051685,15.943807348176295,15.785843230285495,15.953326404474934,16.060446954973052,15.303712977583743,15.957211232862386,16.110376967494748,16.06090761780764,15.607459347108882,16.013266835091233,15.972940420949067,15.090003841195442,16.082778377933828,15.881699506407662,15.783929657246064,15.611112138133237,15.48852806339938,15.909418965451326,15.769313960777424,15.569217021076476,15.835187503757616,16.13371709227421,15.5621241925694,15.961342067070104,15.73535875043551,16.02018499665126,15.348542135257684,16.371975426533613,15.803517538610606,15.833921465954589,15.777916270545976
Imidazole Propionate,16.061751731765828,15.408939804619173,14.543815238939827,14.966052357577514,15.476855458641364,14.639578496302466,16.088854062660474,16.240205241225755,14.890457456383281,14.853075264151277,14.547482604675718,15.38463245206177,14.1410501834253,15.128569004118576,14.170144660712154,13.888490222438357,15.268136971291744,15.658611309867172,15.680177817994181,14.02184578204563,15.55683252208302,14.509231912472435,14.748938821507853,14.397832368964362,15.338599675171661,15.692896783460334,15.148647113588408,14.940670858543456,15.205474837975018,14.878168768893504,14.718087583960516,14.812267571429183,13.686184618546037,15.541740963977226,14.950104145773802,15.52157099666735,14.948831688554476,14.327147004504896,15.390690253285058,14.26657672280004,14.43626865994911,14.156285889655665,15.421628533400225,14.63559645864987,15.394576572989504,15.296299180901723,15.945460447942658,14.275533826562283,16.09872476978429,15.181649480019757,14.602101101297027,14.271369646562494
Oxidative stress,12.607039734030094,12.66423764297189,13.38092411698255,12.638322028000216,12.988525516495534,13.341433106823024,12.672068756867223,12.403471902546874,12.240714813641661,12.888403327100972,12.643891512828686,12.91423562233191,12.691699186582362,12.65477995523804,12.976478794251012,12.395497532100398,12.422783121984722,12.659506135608105,12.719978421297794,12.619966208775486,13.303263713596081,13.192184916576178,13.098457638263604,13.154531234159409,12.991230106618966,13.523353671527833,12.902907038475652,12.577839484468504,12.912367930003876,12.740437118632002,12.966957800342149,12.581921584452244,13.010767025912042,12.331172603387783,13.094470314559157,13.277170663243336,13.040129292775152,12.424652696389977,12.846555350486247,12.926404100188204,13.284197548317044,13.199215802546954,12.56197206054776,12.744336311984696,12.64341129772793,12.625620566602322,12.731514906011478,12.514562849210876,13.056733095776682,13.012274768616155,12.845407073991515,12.756732833386337
Branched Chain Amino Acids,17.101854716895406,17.092805823418203,16.937823864543244,17.18308732773241,17.207093971535215,16.88791539735286,17.12583313969216,17.246095824298575,16.729944235681113,16.92193470455703,17.21355549736007,17.32058656802877,17.181243638831074,17.309462882691427,17.035293343019486,16.62764640112181,17.06338714623329,17.19284588893308,17.143918930104586,16.960715891006952,17.222392578577722,17.214272821448056,17.41381419762529,17.443164041877115,17.16167843348646,17.188095326686213,17.16681346620106,17.307218689709217,17.193943159684842,17.12686438895921,17.21297061299725,17.14779578887759,16.957927593787193,17.139012379397165,17.25642733503324,16.924761907045397,16.945547932132143,16.942653362865098,17.120834421162428,17.198233290271997,17.250145600032482,17.360335553312773,17.198865030951143,16.991810162516693,17.292259014171247,17.06718521321429,17.281544556984848,16.916464243191548,17.00707327046665,17.330923732614938,17.297359902836465,17.086981876553008
