Report Level 3,BM000385,BM000386,BM000387,BM000388,BM000389,BM000390,BM000391,BM000392,BM000393,BM000394,BM000395,BM000396,BM000397,BM000398,BM000399,BM000400,BM000401,BM000402,BM000403,BM000404,BM000405,BM000406,BM000407,BM000408,BM000409,BM000410,BM000411,BM000412,BM000413,BM000414,BM000415,BM000416
GABA,16.533407363601274,16.5911311185264,16.84763083456043,16.75376689378173,16.829236592037034,16.983269624533214,16.84730536997406,16.826319114260315,16.680294384823668,16.824228367777277,16.675981087763006,16.769999182406846,16.859199475389733,16.401290547788726,16.699961938670626,16.558060984244516,16.631431940958894,16.76558133971688,16.664756556090587,16.509896715764153,16.852787332016888,16.658493597014242,16.520919584041224,16.742669679292423,16.652026979203466,16.80009391822275,16.363262829516334,16.746810678768732,16.75196394546079,16.844127847448902,17.097756170769216,16.831792548728657
Serotonin,11.797612894864214,12.343303325284273,12.202175627654388,11.95087840795,12.186766772138734,13.020869701822077,12.270304701038913,12.162034261612222,12.25835644512982,11.8080437008486,12.091254145466463,11.949017429483227,12.112980090317953,11.936676913324293,12.308196574037659,12.16613210015492,12.142935634853874,12.405572425183568,12.110707233160316,11.687762945643621,12.507193383735626,11.898525698719554,11.70105316659487,11.941238681066556,12.105015646604807,12.346875663494483,11.745433868795358,12.172965543557947,12.219008447472078,12.392528659087466,12.634599257882844,12.353468693679135
Tryptophan,17.419500291584146,17.537008419004344,17.70923895290657,17.648163840984353,17.74924215698331,17.736239073880572,17.740021306472084,17.667475379361473,17.63286554366478,17.605721750170666,17.620434621217218,17.668298679591643,17.80221790372441,17.321801920475888,17.62739490609818,17.427889021298846,17.55595872916852,17.701186455771126,17.47341844068513,17.587500041532152,17.675610759873805,17.573738920906433,17.465988776377927,17.733536011378348,17.499048925616247,17.599011835839267,17.271006098475613,17.58130422702971,17.691455050134238,17.73682552733789,17.784687686285977,17.778766568484507
Trimethylamine N-oxide (TMAO),15.231422957867801,15.409796637068933,15.141757911584024,15.52069908720356,16.01397861201793,15.969767831730746,15.815375039523206,15.173224661797178,15.590943118681823,15.45932114526061,15.028297623368067,15.989234156989411,15.90739958179668,15.314915629088368,15.917578137410642,15.49138715082122,15.854079437164522,15.977192033429597,15.497327006075906,15.63302699422733,15.704727989856964,15.508705945337011,15.673666833705314,16.065279171445408,15.394474082852746,15.499129281029035,15.101064673933797,15.6931095728251,15.982829845533821,15.845151389502337,15.66513657786024,15.83827350314166
Indole & Indole Derivatives,11.023754353299417,13.228285095226596,12.264932212404496,12.996044429716841,11.804623131859895,13.75044530132084,12.650775776285682,12.184714208175235,13.350640890633949,11.814906855581519,11.63603546020023,12.150128062614995,12.69201389012441,12.889545791074625,12.839552213571595,12.925233599261967,14.008517036957851,13.129080123688574,12.74222521324963,12.516024999290833,13.070161205172003,12.053963203826914,12.130457948404873,12.428004166291025,12.717815631281157,13.58349769426171,13.713617422182358,12.458019484272926,12.9850147112361,13.604928447777217,12.916138846457699,12.325783275714079
Cysteine Derivatives,17.239777419353416,17.2995462177371,17.362649823319313,17.59854861759174,17.67171105544189,17.809950576402663,17.742218804217018,17.704432675417056,17.321856539524607,17.41933213645112,17.337888375989547,17.575061543873684,17.80014559083909,17.19676547313708,17.587410907799335,17.395987634191275,17.430216150505387,17.642754615429922,17.487048095529634,17.10516606438482,17.59790205645584,17.37534824896389,17.45866592833429,17.68710571333622,17.37491826241738,17.650322294800993,17.00177546307638,17.637169308965387,17.655391299128343,17.609181263664258,17.832301537674507,17.714362181786193
Bile Acid Pool,15.660821689233163,15.66671609982958,16.504058514628653,15.57979984877585,15.869884054258126,15.776444984597227,16.30096648319793,15.867051973362432,16.081785909641365,16.400106678571593,15.705266132824436,15.765338939932848,16.194899466610313,15.556879313303915,15.770267706422981,15.745966672241913,16.05495719076986,15.623554892443494,16.075414279399777,15.756565052679008,16.150787828381866,15.784058654366893,15.310591659370324,15.47341292611245,15.79731790771977,16.311462031955926,15.391515143422215,15.989378200243694,15.755801681161735,16.17199408417782,16.656606278146857,15.826938328709646
Imidazole Propionate,14.736061513225797,15.033126998431332,15.747309242882142,16.024874453957626,14.812251524568218,16.21641747510277,15.71214363691482,16.001082086467196,15.062242656108385,16.385022022605703,13.325083355164892,15.994610955271106,14.874344871598765,14.835730685349608,14.144447940683389,15.62543735915604,14.88746465898929,15.28927397282852,15.854721667074342,14.292775998678117,14.715988075609646,14.53526282346665,14.066421110076272,14.660086916214798,15.654814637123831,16.041010404701307,15.02940859980004,15.807255124483664,15.183622720621223,15.618533670305725,16.59814596108534,15.122143142478537
Oxidative stress,12.288236473159285,12.425733423216418,12.107607224100148,12.594704824340537,12.543803557183884,14.457548251744994,12.694547963048914,12.2433941800199,13.013794892054493,12.786464308904092,11.549837601084349,12.71290524990749,13.783468932145693,12.374535078913702,12.381853843339842,13.122862492921234,13.031073957502914,13.506754268820092,13.67200463823394,12.219277444666988,12.71980661575284,12.592489740476712,12.190921386760252,12.654841857429732,13.326845157114416,12.578332589731373,11.418291847758274,12.280822956708295,12.73849553280845,13.089281638177255,13.396576245397773,12.695630675940464
Branched Chain Amino Acids,16.891455935742126,16.976293033269542,17.19945911157948,17.13336567612661,17.223000156343137,17.3248724691624,17.21286630860056,17.03141981617285,17.15121432194106,17.002605032435838,17.01238633223964,17.115663035956153,17.200762586582858,16.759735684418033,17.122815257953857,16.91691494888028,17.068522995389415,17.212529316437475,16.975516588916285,17.043941284895002,17.169194872083892,17.034544293767812,16.85142791113052,17.19283966236339,16.938536360167575,17.054280333341328,16.46069345683038,17.021766601327645,17.17382441659026,17.226712691283733,17.26675820999787,17.261754348657526
Butyrate (SCFA),17.802100282660895,17.968849889538436,18.099970349457102,18.127056499138725,18.19663903575473,18.269961312303668,18.255512278004005,18.24303964521401,18.01680873210984,18.165241452171326,17.967014971886464,18.338519862415612,18.283245681046072,17.801909656017795,18.170794157158298,18.049889526065076,18.044104388932,18.21526298057409,18.04612654568369,17.81757908876321,18.1267808085299,17.995665899360457,17.94236287533643,18.183313677160164,17.91241133801356,18.31284565753436,17.80461441423861,18.178770944784524,18.210295763323145,18.262729505704737,18.47513592392311,18.232334104179635
Lactate,19.084679887643865,19.228280751439822,19.393342760609443,19.281420304399195,19.511809498329207,19.337038979895148,19.421813986816964,19.35321954049693,19.31542654749823,19.221955875278177,19.20653827510081,19.3646860836794,19.61864810057198,19.002008518985036,19.34160579863829,19.162180311012374,19.34405729772389,19.332559716373453,19.196757519205775,19.37859489410923,19.449922400755103,19.221455348212633,19.09539084327403,19.375956235935185,19.174525674006006,19.534270524359663,18.940021248843838,19.29917682719443,19.38781883152524,19.414108340754545,19.515343512693715,19.42413118077723
Carbohydrates,18.357030756039187,18.423132833458947,18.69493710316089,18.542190761238928,18.69921526675316,18.921357819734073,18.7584749706879,18.765709695122,18.58862013200974,18.703523652043906,18.536949329449307,18.637394275699354,18.8521927139524,18.241695248824644,18.524927476337485,18.501764776661922,18.54743007309153,18.652385765800897,18.606524900336485,18.386715324369405,18.708499692748553,18.50609416073283,18.321934888763938,18.587032301664795,18.573156414876312,18.859807428853266,18.133979415347913,18.631096184683702,18.632830036213726,18.733516290704895,19.01860351777849,18.713596872600093
Proteins,17.51806781026908,17.588402681997536,17.83460564948321,17.712807932678565,17.806892580630347,18.006600838707836,17.821585049904957,17.820134580706647,17.68163731284639,17.752002087421108,17.66077465003655,17.709020993566813,17.847107118383004,17.385172960375087,17.70134778653764,17.53994855952233,17.608561803900308,17.76794526101699,17.628866065059974,17.456158322326868,17.85658639481696,17.6048056156546,17.466815573561544,17.69900878433718,17.638080112773938,17.822605671843732,17.32670692502637,17.72347159159083,17.727723191633988,17.82661185889541,18.067957217216097,17.814418024922123
Fats,15.984912662757697,16.058495873748626,16.389789533686073,16.226434723432995,16.380543381182523,16.78594660364273,16.4988585442629,16.414982500104962,16.31214797860624,16.50630475267878,16.18986863304979,16.29479291116308,16.454932234572954,15.950516247904131,16.306837976102347,16.189160898162125,16.353832034236977,16.44117120837409,16.263809565050583,15.989039459509115,16.472223561293706,16.163349657881476,15.993753796003086,16.2198135420266,16.297244943768032,16.457002458687313,15.844983712864284,16.307630002578026,16.332835250041224,16.509501782926048,16.71143803133374,16.38172822225158
Vitamin B1,17.189133689146857,17.131307281473738,17.444584573466212,17.36040041127026,17.479154103145547,17.358032357656192,17.5414034163956,17.584456083918962,17.30187848494977,17.653862670261958,17.385134602262053,17.536551710760946,17.515965888407255,17.0731537886929,17.27380620106833,17.248492605383348,17.281394407578173,17.407417479743266,17.266911216779285,17.21052477457975,17.383923976955572,17.38454692047904,17.28203268043438,17.503120270733973,17.29154380125236,17.280700482880498,16.909309817664216,17.451114950426913,17.451922514335827,17.57095404377432,17.697915076771476,17.49620878458236
