Report Level 3,BM000417,BM000418,BM000419,BM000420,BM000421,BM000422,BM000423,BM000424,BM000425,BM000426,BM000427,BM000428,BM000429,BM000430,BM000431,BM000432,BM000433,BM000434,BM000435,BM000436,BM000437,BM000438,BM000439,BM000440,BM000441,BM000442,BM000443,BM000444,BM000445,BM000446,BM000447,BM000448,BM000449,BM000450,BM000451,BM000452,BM000453,BM000454
GABA,16.736199445092694,16.569051694397356,16.71501460775672,16.607960649944594,16.66341046390949,16.666576830377792,16.652286880640496,16.67939246576577,16.651583912027508,16.629024200934754,16.71107137331311,16.79399795430906,16.705101517498107,16.615678613863352,16.758874624424845,16.787374429109367,16.69641533442268,16.746608117147474,16.641173009589956,16.706692659275113,16.591093693542533,16.51958635990308,16.6349762913876,16.77512773847754,16.71672903155154,16.47007517110952,16.7367688400823,16.746989449727813,16.585811127360447,16.71246983934088,16.560435595702838,16.664177540138546,16.529027796406,16.55230581464194,16.702952844078496,16.752505687772054,16.67470243666416,16.57469492040266
Serotonin,12.170722834106204,11.783789058982142,12.216430370551544,11.93832170735592,11.85339042204305,11.921483639897188,11.891535842105974,11.989255013657564,11.924271799823542,11.830301282461976,12.095138230995603,11.981355606887513,12.00344798924681,11.782310881874114,12.141899160182316,12.08544138745786,11.87945727631359,12.02362074884046,11.747952813816193,11.94659983365811,11.87821207621969,11.724015090676879,11.88732169198664,11.944336735844983,12.082112707340423,11.61346650217059,12.283034395683618,12.067779329339734,11.716759326352904,11.988006133959377,11.655262730855123,11.852449296763217,11.791004240369183,11.697345966769518,12.004163818003002,11.902264269942812,12.043203131249035,11.70054163088881
Tryptophan,17.667305588726038,17.513368177990767,17.60653329000917,17.551470651068527,17.68039617080462,17.641322358102126,17.65028733012563,17.685538409975962,17.59546239099655,17.532695069596667,17.669209736178274,17.69179940112453,17.61627289693837,17.536562879228093,17.59516744644313,17.696337570312455,17.699797493558588,17.67431897779646,17.59831338258963,17.649294895808765,17.557620579871287,17.42729622312107,17.59488671955951,17.70500615178338,17.63917293118632,17.410076868686183,17.55402627889035,17.668827420427593,17.594202905663174,17.65538168597684,17.530607396728122,17.61132481398966,17.506976198393684,17.477775272516133,17.672223145656968,17.705935661597962,17.63668240903047,17.521744321750532
Trimethylamine N-oxide (TMAO),15.70094465973103,15.68552300656447,15.272590422307108,15.673665177622008,15.706302555744067,15.731049826596388,15.504747930918194,15.461754722536151,15.768609253348652,15.663736817891754,15.918467764658534,15.854664613513194,15.623594899619,15.61633977568735,15.33592240390899,15.824850623821924,15.686818379688527,15.758222173520345,15.73271331586635,15.644101032667168,15.6654244727566,15.551602530594856,15.675578341935047,15.777752312002342,15.647475852918511,15.421307139234328,15.368181081808146,15.808282473168413,15.653755051107861,15.73086122096044,15.630450010301793,15.563266295578215,15.65467714072347,15.645008195083301,15.835090392972209,15.828222285493727,15.601910908232831,15.62991266547269
Indole & Indole Derivatives,12.952162451705108,12.04654085278765,12.711983093029282,12.817071589783312,12.45704222669464,12.710421175801924,12.00591572527606,12.558482897059578,12.501954088212178,11.938572502561247,12.179137788247518,12.933449079193018,12.612013774387266,11.883059445195993,12.411426245726465,12.676997232516474,12.30306435899683,12.749626444356549,12.137762862784461,12.635915332603233,12.497689699248435,11.833166820537958,12.338165318826276,12.67582916004942,12.729729069060724,11.79260323603073,12.974066780937799,12.632572683645982,12.349364171721046,12.64585654172049,12.107982037393166,12.529969755813884,12.33110448347777,11.768089189799849,12.309979333571441,12.465390393440344,12.601914679385814,11.86490963266976
Cysteine Derivatives,17.4970195810693,17.418855899468607,17.319626877270288,17.395925816298096,17.45407477087316,17.459730910949048,17.281633852981017,17.320813520670832,17.52734099864041,17.455404991698984,17.569127581462418,17.586407568403192,17.44638410610339,17.4231406028225,17.408320949483574,17.596152695158064,17.42820063510498,17.495971994465602,17.443549301203305,17.471456364704565,17.455424193074244,17.36048120419921,17.4629666995005,17.58009471195067,17.489876239693753,17.275876966219585,17.4929128593015,17.581106364011397,17.38230901052208,17.488512875047476,17.35206213890235,17.498299008717023,17.391552230575382,17.4228554456377,17.553544402301917,17.54545724225685,17.390137460732497,17.411067972502998
Bile Acid Pool,15.986191030698938,15.695262009095002,16.181748305544282,15.820901674915055,15.734199686853342,16.05196160003198,16.058742860364728,16.09642341567905,15.77996142529853,15.839424516545616,15.83838751314691,16.066101807255222,16.030778226211766,15.759041240536929,16.213026545074154,16.018618462343287,15.876282153782551,16.068310568836313,15.938399747822098,15.961734212433845,15.599210118323926,15.559558431823463,15.834089536674702,15.912419827414217,15.955590883676445,15.476051581565786,15.981915628043426,15.849682177350042,15.608105351814606,15.973032046927015,15.791948722450709,15.69794519655538,15.58086329370071,15.589538943589865,15.8621931054838,15.913052196120569,15.894018149282996,15.559028534556536
Imidazole Propionate,14.965540511724024,14.513236174444948,15.127789094614027,14.892845401773094,14.383748836075647,14.714846515400659,14.269789520635506,14.372489649441203,14.561112490939848,14.951543657308854,14.718320951292394,15.60670362259756,15.128286528988419,14.807077144319154,15.620711829850032,15.229545618113969,14.479886757361175,15.274299522185336,14.69697440291941,15.045674352862369,14.464038126947417,14.901698768048114,14.75697531038099,15.522409073039682,15.166233708938282,14.66164080144027,15.686773704031754,15.221855690980874,14.507449444519779,15.138994886634723,14.667891382546442,15.448039495602695,13.740841149119166,14.316686942805534,14.31279316684084,15.060296256220989,14.453742198330442,14.240624399111326
Oxidative stress,12.814095744591866,12.752176417569704,12.811921180339107,12.854334674345775,12.815134425466836,13.205563679539438,12.514040055582932,12.908029780883476,12.736149627898959,12.721715856031112,13.319972651109708,12.752314427421686,12.832137761876654,12.656355587224411,12.728329408295565,13.007641700987547,12.779710471626965,13.045521928101946,12.720030446498972,12.84888565677971,12.69134877381383,12.613922196437706,12.905608262718987,12.763244179632485,12.903822867970622,12.47150672926884,12.801759539332695,13.174549671670091,12.802480680999382,13.146395249173302,12.637857294458044,12.889365162931398,12.475753693394905,12.56152423754222,12.8622466651499,12.572127013152917,12.708353942280779,12.497080896618261
Branched Chain Amino Acids,17.14993333785784,16.931366770649753,17.066880575723733,17.016265085952064,17.117305099568494,17.076896683751126,17.12511953844977,17.083260676189003,17.04314123640446,16.96271194449607,17.11977470745226,17.158685549393592,17.103647856268974,16.93797198400234,17.05128847030375,17.16269130138399,17.162182186352307,17.13916603970205,17.068056918063377,17.056331406230207,16.97101796212209,16.839059160661396,17.046695769021493,17.149950764959268,17.122993462601187,16.80918580941058,16.996727208047492,17.13577203496095,17.03945972715985,17.1118301098636,16.985332834560648,16.923709095385988,16.954889146859415,16.910909659394814,17.127932306681675,17.17411373042278,17.133904019860218,16.93141263441728
