Report Level 3,BM000455,BM000456,BM000457,BM000458,BM000459,BM000460
GABA,16.72236183282676,16.469687220277123,16.793779906695114,16.665569456195364,16.284553775576065,16.821200685736596
Serotonin,11.759562916170326,12.054621003476786,12.170889293563503,11.866562388920077,11.448700339254597,12.00443042848915
Tryptophan,17.703927592484604,17.303992046258653,17.597939869566254,17.635083554290905,17.28756031418335,17.82056367862596
Trimethylamine N-oxide (TMAO),15.800969647363939,15.323812300106196,15.083651758974444,15.851462357314066,15.028213866485004,16.138317403720155
Indole & Indole Derivatives,12.003444124065155,12.04145039745161,13.190781509119287,11.924478507761972,11.41307253261847,11.512538017057738
Cysteine Derivatives,17.571387687683718,17.2553079579364,17.340977971840214,17.576274145130448,16.966730404850125,17.688629868332246
Bile Acid Pool,16.162798838841457,15.707217562841386,16.42400385835787,15.649778930616868,15.718460097332368,15.857335923109375
Imidazole Propionate,14.735514773243656,15.132765326542792,16.373481919028514,14.928165495457664,14.529099857962859,14.792689316346202
Oxidative stress,13.313957204253658,12.794414505699581,11.584293925304443,12.903330188024821,12.38106161205632,12.16821351013665
Branched Chain Amino Acids,17.095569993239874,16.878433790322433,16.893775050785507,17.09995431943503,16.74594790177279,17.321458215268102
Butyrate (SCFA),18.130058754069164,17.877414929355798,18.187665658156384,18.088863204809826,17.622496228202305,18.27855605786239
Lactate,19.501935955411735,19.099628600333205,19.352508600023484,19.294810544876533,19.040883233779507,19.49919916636605
Carbohydrates,18.69417306205057,18.275645354084727,18.80622305104713,18.533299558341717,18.237162459993343,18.671088871404805
Proteins,17.714554522810936,17.47562265060549,17.7736880284579,17.616543799793583,17.259993543060936,17.775768081687282
Fats,16.27764423519904,15.94401717814445,16.393459843574412,16.17483634784887,15.884508923555284,16.408137713664846
Vitamin B1,17.383906263065693,16.90573667092172,17.505658487353447,17.387318609381616,17.026014339756177,17.598942319088945
Vitamin B6,17.969940537681428,17.584464096055367,18.11173447360784,17.79419506116343,17.628468199550237,18.009557597378993
Vitamin B7,16.894491090678457,16.5620258576048,17.400724200827018,17.00639223486814,16.423462028746947,17.071313725718383
Vitamin B9,18.89138506004093,18.535030652071438,18.93401536423993,18.819359222569698,18.494607317558508,19.002635948241416
Vitamin B12,16.663073065744772,16.434836517007014,16.951295324520043,16.905527634838805,16.26850882546202,17.272192698876204
