Report Level 3,BM000461,BM000462,BM000463,BM000464,BM000465,BM000466,BM000467,BM000468,BM000469,BM000470,BM000471,BM000472,BM000473,BM000474,BM000475,BM000476,BM000477,BM000478,BM000479,BM000480,BM000481,BM000482,BM000483,BM000484,BM000485,BM000486,BM000487,BM000488,BM000489,BM000490,BM000491,BM000492,BM000493,BM000494,BM000495,BM000496,BM000497,BM000498,BM000499,BM000500,BM000501
GABA,16.378979639868614,16.555990541574975,16.45083541314586,16.280522517376667,16.633719969601007,16.717671629513543,16.496689322932667,16.589372289317836,16.53289961432307,16.61448937319731,16.83026696121365,16.694077646749136,16.659963087574788,16.654885507001225,16.69152451017489,16.5767757616018,16.697646124483715,16.67001347464765,16.633339228496393,16.623703362063594,16.58327014286923,16.52791609955,16.7473067695971,16.610499868459097,16.592225824875655,16.623090210702753,16.612984571532785,16.470675519223775,16.649674191683534,16.610454337446495,16.516587778002755,16.546094418117683,16.44702219974548,16.60175839889752,16.837909158616124,16.690057998772545,16.619429290313846,16.647818862651064,16.637050351560163,16.46836799941701,16.714287485634088
Serotonin,11.765082673085104,12.06770048857027,11.789549824256225,11.438069128745852,11.867123379038809,12.081816111708376,11.828211354790982,11.960760994065915,11.93814090780629,11.997388494238727,12.231801802623,12.081758003367872,12.040623331367758,12.212303313779776,12.071733847927208,11.879614377490034,12.125587920126101,12.271442513708894,12.12322099480495,12.063294122811067,12.030800537992913,11.935803879104936,12.153822875760262,11.997519681109312,11.979628544550255,12.207673970422963,12.029005874002467,11.769900144235034,12.100765183203112,12.254506059042885,12.02824407133188,11.995412050180256,11.884836218876448,11.951674007941934,12.238889328225184,12.062303647273604,12.267597623689012,12.168285666018285,11.977431377060487,11.745722679103004,12.119884516370334
Tryptophan,17.318706666708962,17.47411561062911,17.33959487965291,17.148769588928587,17.547835375740675,17.677801903547174,17.39983879519944,17.502814319455133,17.249501475825415,17.537002743198528,17.70603597573117,17.578778892677466,17.512775568511156,17.55398071080469,17.61270206833345,17.430295110938967,17.555610405899152,17.576181147178644,17.462322043481095,17.471502637074696,17.38409621295115,17.489117182153183,17.64810228091071,17.519527093766833,17.462028892908673,17.568966871488474,17.54273087511868,17.343785528436072,17.574035309232446,17.55292796561898,17.383378825986178,17.406981258446642,17.302122179657974,17.522268555815593,17.68096637548729,17.552926795199657,17.515076795518794,17.524308578185543,17.530683308690016,17.30594512010921,17.564751583349864
Trimethylamine N-oxide (TMAO),15.631818212080361,15.511198258390642,15.796310900055426,15.047779998247927,15.568650882220673,15.683089465842137,14.913766434668025,15.320119718761148,15.397468748135624,15.849169764118127,15.839695397949793,15.837962946398084,15.5643224910514,15.598517519840454,15.741718983074854,15.560923286793797,15.642220114131563,15.896031495679962,15.602516487095983,15.593895861029525,15.469291084238108,15.654715734779638,15.786002824893924,15.784451072208187,15.558421909136074,15.463817135559939,15.666117738851169,15.468346574883528,15.348938693239017,15.714942544517175,15.419606042264693,15.480321299494276,15.242415312701237,15.788410177554992,15.742535760591108,15.748084590976166,15.8333810618652,15.578811082792761,15.691814659989342,15.28338176862948,15.556305766246384
Indole & Indole Derivatives,12.015766971294774,12.843012212575509,12.120082322320958,12.084190526978478,12.415105300125912,12.046721592282271,12.539219406905376,12.00012327189747,10.961051704566337,12.635271459549445,12.82159463027903,12.396401419625796,12.39900014826113,13.126133346791697,12.822815773559894,12.247375719451567,12.27533594317257,13.08372529583979,12.35862098419136,12.203488717007563,12.638920049716829,12.721690931265812,13.051788418076288,12.428640204250321,12.51231331839575,13.13423859079233,12.995753020592728,12.27179564982173,12.192052345257627,13.138802952110735,12.546643702327437,12.377790745914586,12.619956285031405,12.349112563539787,12.597614971456013,11.906289347406073,11.831192425412713,12.924491497934364,12.583529425956984,11.581567800894465,12.006305037607655
Cysteine Derivatives,17.065333411281532,17.122676883997038,17.20987120994018,16.975038485919132,17.321812491497912,17.56415275069677,16.934542278641917,17.27056381726055,17.242061458598588,17.546324480959687,17.708628602883124,17.57995665421195,17.49507509951011,17.33873693959892,17.458534009785527,17.423145725186274,17.508471983046046,17.542485644843726,17.47369923426911,17.494309174634047,17.383995909983902,17.381496869238727,17.616315320208148,17.50617762296633,17.45832942006548,17.214508287554,17.3934177926359,17.304990292191242,17.32563699509017,17.38539701128381,17.29721092650976,17.399071066416244,17.1583349559767,17.560906200497545,17.714665249729915,17.58686744501896,17.523811352533208,17.402402275505953,17.465134979337968,17.2687928200053,17.561578442091044
Bile Acid Pool,15.712280467029432,16.099898106912033,15.875088412701869,15.485507489692283,15.930645526355402,16.023304307082242,16.07527450108361,15.92553821409901,15.478098887149615,15.766027900215798,16.25114655141617,15.920506384837033,16.04887103916218,16.011048021409607,15.945130018821382,15.850628697905089,15.952966764393823,15.890608899730953,15.86406726156876,15.761892959443745,15.887991173665279,15.716596701834044,16.13987106321249,15.777444887661558,15.914774018734061,15.995958779203377,15.839085412553757,15.641149726633584,15.98461126663073,15.871385376358203,15.72190156080907,15.64559412545569,15.724663459958023,15.773539756608166,16.285676563489773,15.93685471800791,15.687790103458436,16.015679217373616,15.850546416417245,15.79357016247207,15.959119215420865
Imidazole Propionate,13.852578274637377,14.979350459434572,14.55542395098605,14.674877109805342,15.20527652454012,14.916502144041281,15.032738832563112,15.03453161288001,14.618162931943873,14.602205898656473,15.752324714900091,15.345519370082592,15.54222822107103,15.21730216597144,15.020245847024224,15.405473239523866,15.420840973050133,15.020957661312998,15.419116823573976,15.248563839186689,15.510256892084943,14.315179287809421,15.580067929045944,15.148824240912695,15.408147932751652,14.943322193926972,14.937689830330523,15.216257805270812,15.076054533340066,14.733406595414044,15.195790751264212,15.177357765834765,15.077596286220114,14.865001493556022,15.979287189483937,15.546364363752403,15.413531411189748,15.455330861717737,15.284347462318411,15.446926049406482,15.664027954256008
Oxidative stress,12.187336606832849,12.295300211943733,12.460554009547037,11.892043099245006,12.790962733300741,12.629828629288355,12.005247932776713,12.485430173260816,13.943529761716976,13.0994952122442,12.76811814458742,12.9435856275722,12.685419698784516,13.074609242336994,13.067147490715172,12.820418985996012,12.982460074499379,13.189422033428494,12.855449920638494,12.666323878233438,12.588477297410897,12.700267022237567,12.594334705554306,12.818113445134605,12.602110371291761,12.781235378183895,12.950385792618198,12.610144360204474,12.490338649129917,12.879789990457631,12.46994955257559,12.420700632681253,12.22564930761751,12.85757026217344,12.562697965310566,12.768535856138737,13.553450505758443,12.953638103396134,12.923174571699418,12.432120800604226,12.723230737888803
Branched Chain Amino Acids,16.67464837302218,16.867429132876836,16.700504426363533,16.580248260815676,17.04341977593971,17.181580092568772,16.905105847659154,16.96339543667941,16.77646409112824,17.060104748221125,17.209679879868315,17.073993788690938,16.99650114696403,17.069168829091048,17.0982042236582,16.891920215337038,17.023569269838355,17.09986893835022,16.963674228897624,16.951953764467117,16.88879671051639,17.002471643691795,17.136580984581656,16.990705257375517,16.933483197306693,17.0749492394743,17.023510830319992,16.804786333347973,17.034698819699734,17.067629866174634,16.868768950570285,16.874731658375836,16.79474253764666,17.00352541477968,17.151891093995545,17.016535116076167,16.936574144570898,17.005366066933586,16.978337166869757,16.743857602059727,16.972342334948944
