Report Level 3,BM000075,BM000076,BM000077,BM000078,BM000079,BM000080,BM000081,BM000082,BM000083,BM000084,BM000085,BM000086,BM000087,BM000088,BM000089,BM000090,BM000933,BM000934,BM000935,BM000936,BM000937
GABA,16.731982359105906,16.71891798571148,16.860813998247444,16.674315022232683,16.722647418616045,16.724065071434588,16.801597298442648,16.744495208963414,16.588040155605533,16.68616441225577,16.763882324091476,16.65845687794368,16.524569989573756,16.707132780485217,16.696407398170663,16.70317707106361,16.68394914693548,16.800840088801834,16.47390133751496,16.793028406501502,16.820883095591757
Serotonin,12.147566571145283,11.883469764023213,12.01825520051122,11.958249391350412,11.886951360902549,12.267770621863107,12.118672585807568,12.120773376859963,11.64501371348144,11.90723146717955,11.982537849163762,11.98704304249677,11.747225584218997,12.001343869872619,11.879422430692992,11.976103067516867,12.083778373001714,12.011452693857752,11.456309644660044,12.08577407904954,11.935257812354612
Tryptophan,17.68168073150106,17.75378643292299,18.019434124945516,17.699876509970586,17.753876383452138,17.84476560517956,17.81704949806897,17.838857420593,17.65357790451724,17.732237568219425,17.740183448922206,17.644701647293054,17.60349791805736,17.735766079269222,17.692239978229367,17.66889854616175,17.70359773325101,17.63866264165823,17.490954109331298,17.804562677090765,17.807690328406114
Trimethylamine N-oxide (TMAO),16.08239149422974,15.854843065765508,16.08434273298785,15.92127076466827,15.999512312368767,16.247594163143294,16.100407126608367,16.138807550840607,15.937665998883455,16.098572498748826,16.05756323216418,15.80249818995723,15.719605401471108,15.957521300167794,15.974643801999225,16.025920969083145,15.987745644345098,15.600726859073047,15.804430290863673,16.209086248077856,15.96441848818523
Indole & Indole Derivatives,11.292540206401561,12.650302335928902,12.720274189409462,12.019413507822472,12.043379367617348,11.863512626580926,12.1985800959431,12.969237207271167,11.434836694516777,12.532424113179667,12.475961366880783,12.902369461281216,12.032927334132907,12.454510078280256,12.194852251324193,11.550159970072746,12.883954862065384,13.892213600249022,11.767327884054883,12.436841649459382,12.707078676659966
Cysteine Derivatives,17.686170824831787,17.440946197944715,17.708373951988865,17.52675129139705,17.611799308652717,17.65124419748705,17.67203723950521,17.59295087898223,17.491097659623296,17.590444846341335,17.657638274805116,17.453385189044386,17.36697524114425,17.55966753930564,17.58309954908045,17.594940749709494,17.574821694574126,17.51731093020696,17.387084750015628,17.691157387034444,17.61326541989364
Bile Acid Pool,15.762542043778769,16.122035872051285,15.798782749982909,15.793058258760043,15.563192100504953,15.07336670953433,15.870689929930407,15.687779033758684,15.552857736527812,15.680075967830874,15.759744525368564,15.80924787101736,15.355775032292817,15.766570964161284,15.658155126376043,15.809003880653606,15.590150321804881,16.349293756957582,15.327258426389912,15.932909536896904,16.092674979607963
Imidazole Propionate,14.605798567939159,14.378322400718606,13.12401788912289,14.633467538842657,14.043300754364182,13.649507683994004,14.257555307590135,13.124805234056147,13.0685062358151,14.314908904276072,14.859462960433643,14.685665713316954,13.780575301293961,14.000727732857646,14.86282361939132,14.338254015675046,14.02464912529719,16.096234175974033,13.473151874661776,14.112667019573358,14.696976945003243
Oxidative stress,12.634905570821148,12.77468756209017,12.874221908412238,13.042966890842605,12.68926711630852,12.410008722861066,12.757349024077,12.558844777449353,13.050340138880017,13.273732960650555,13.039665634155789,12.932289819625531,13.063606868880147,12.971017176005006,12.837665379687849,12.620442078747576,13.150454434972453,13.196039061317721,12.731734806736757,12.596198306976305,12.842741216811126
Branched Chain Amino Acids,17.124468322641516,17.245029197045007,17.39600949985924,17.14772302908979,17.189835173704417,17.22493217849089,17.266532004646187,17.30099185662881,17.078368948194132,17.190070416766773,17.219788862433518,17.11852551131497,17.022619511660718,17.200212187737186,17.134044116656515,17.12643970981617,17.193696453825737,17.141211545462518,16.942395490001903,17.29493811622319,17.28950765814618
