Report Level 3,BM000890,BM000891,BM000892,BM000893,BM000894,BM000895,BM000896,BM000897,BM000898,BM000899,BM000900,BM000901,BM000902,BM000903,BM000904,BM000905,BM000906,BM000907,BM000908,BM000909,BM000910,BM000911,BM000912,BM000913,BM000914,BM000915
GABA,16.739657254337406,16.39903402179789,16.68700606578686,16.207779896519174,16.59304038912753,16.63130856998739,16.812729114323496,16.480915276778664,16.71602350397639,16.73976304923086,16.635609635004457,16.535283532163024,16.527321509047958,16.717375690150174,16.66373582571676,16.76431694693154,16.752283923937433,16.438204959497256,16.442160157041837,16.541154712307836,16.416869474224786,16.65841805049876,16.576575390723985,16.738251362773244,16.021936366231174,16.633127468407917
Serotonin,11.935556358875251,11.483612606915006,12.08280921606253,11.39278348612173,11.941325478160847,12.25765779235286,12.271883548399735,12.13308318017139,11.928070470692534,11.991157973193605,11.908329867429043,11.771625974346703,11.747623963309927,11.915734131262782,12.075331563194972,12.163877822648836,12.209249649774254,11.660476056983674,11.722659028377468,11.756770125760841,11.808179284925352,11.95671384776953,11.822298437796356,12.897844964521267,11.380194093103098,12.176466053799217
Tryptophan,17.76188282240481,17.426993219890544,17.70571312500104,17.220950275617955,17.617742129321556,17.50081565875321,17.803445843115426,17.44889211012623,17.767946572527887,17.8128741428748,17.718189921654755,17.543739084602095,17.517589219951088,17.75325640367953,17.701057547837667,17.787992178707714,17.706779252576382,17.41614679859223,17.425903503290613,17.611441939708318,17.437228091718634,17.642105249194213,17.53872378051452,17.631788498818295,17.037815961778602,17.560187577336762
Trimethylamine N-oxide (TMAO),16.0027233941805,15.73545077948885,15.68697208357563,15.363559186243783,15.833078594272756,15.19793924214249,16.17683951686902,15.49430497079933,15.924510287083915,15.83325059342616,15.870971735660456,15.666762693328844,15.489517785777952,16.092010498389808,15.87059782855407,16.160839101158917,15.805627756722357,15.781222917417242,15.805594507199329,15.873547687149332,15.043920571951746,16.060507013059784,15.864703407850453,15.971918234193257,15.490754376363775,16.043349247284713
Indole & Indole Derivatives,13.127813811645169,12.961916288095797,12.816885654218142,12.119868406777309,12.628819152505807,12.73493184926423,13.256510938633507,13.325015874997934,12.434237271026891,12.28736609118337,13.281198354507092,12.712651661788518,12.449899208786366,12.836799919760718,12.461939808415698,13.393745724279407,12.514940844144801,12.442051900187243,12.025727873588222,11.959172433697026,12.587674396038294,12.48828452840259,12.055251927059798,12.183700505961733,13.756947173217105,13.133061917699543
Cysteine Derivatives,17.567602515975278,17.383103663200043,17.379050115255364,17.104600350552207,17.436094657488038,17.22220899086666,17.500236475894923,17.285896561384305,17.55266111320288,17.61950278246872,17.414855158629273,17.34928318148645,17.331308459125925,17.61527195034661,17.42751048741268,17.671885777453365,17.590140085546487,17.414739831269205,17.368780385228465,17.431902978820354,16.941838564797212,17.615116105566166,17.51505937087674,17.661149898875507,16.94896709660099,17.555300326430988
Bile Acid Pool,15.759653903057131,15.118517535129774,15.995101994281027,14.602665232667597,15.784786396228096,15.992795311666095,15.009899237381015,15.59058207953202,16.029115184818384,15.638353747498122,15.784676248838943,15.728925461269716,15.702628732442752,15.928519878835507,15.91167859295272,15.912866302873516,15.87366434990273,15.28479826013965,15.425932974020023,15.486516097929293,15.774415427186582,15.47600615838566,15.67229839889228,15.851244805361159,15.555065544536973,15.431994718219114
Imidazole Propionate,14.513976740305553,12.521140715993168,14.195606480209428,13.201015045563537,14.766579633924811,15.579568740663293,15.259627054985096,14.174948037236584,14.340404640886428,14.068799552207242,12.216654929171826,15.091900889467794,14.601702702085817,14.41165971193003,13.274947867425476,14.567659439461352,14.849757589604225,13.581654107325491,14.062266556991148,13.080722044146663,13.461115325479438,13.757249004247628,14.742118527443544,14.004647101008283,12.202780908715669,13.091498197068518
Oxidative stress,13.236306245278925,12.583820079313604,12.547293821865914,12.014642376403835,12.742218201476964,12.84796168407809,12.862981467467664,12.930237758567118,12.559770622985864,12.527617090225787,13.262787346049235,12.669408464404029,13.092547393221254,12.777816254198974,12.608020676955853,12.974926594731512,12.712782050331901,12.902456141320792,12.769797210452058,12.36722724877428,11.888709007312142,13.541464104785495,12.862944672330794,12.893395716354267,12.245009900070693,13.971796497358344
Branched Chain Amino Acids,17.29684957620331,16.80905032869334,17.18148116040321,16.647199440181225,17.121967971323414,17.002615909557274,17.35053010939758,16.956562767077536,17.261376121012276,17.219526401092075,17.242710667794196,17.03270278636423,16.966796558222136,17.252406606410396,17.216564626243855,17.32351236386337,17.200991585851888,16.90602559635019,16.824577769580667,17.048566517389737,16.90845466302032,17.14874415008531,16.993636736905856,17.15359012915221,16.48119629155363,17.108327744060283
