Report Level 3,BM000916,BM000917,BM000918,BM000919,BM000920,BM000921,BM000922,BM000923,BM000924,BM000925,BM000926,BM000927,BM000928,BM000929,BM000930,BM000931,BM000932
GABA,16.659584388691943,16.612458860805493,16.55654604016873,16.57359873001785,16.65794768805021,16.62111077285795,16.595032816603382,16.831383719161934,16.671063439068917,16.77812279584117,16.936650053035628,16.80420560741592,16.731694584081126,16.89123966665774,16.773591858557836,16.892188690121227,16.849145792064633
Serotonin,12.038742001444962,12.825965631198393,12.06348747148682,11.886226039511769,12.102788254352228,11.955444893697218,11.991358222708497,13.7098091144807,12.308878489249217,13.298448156362936,13.084522527191108,13.010858950720207,12.68612444075586,13.23155664031888,12.761340734031966,12.53727502472229,13.14833646871307
Tryptophan,17.625805157434673,17.51548488694817,17.52809070053064,17.559201413455007,17.516716690251663,17.622107713080176,17.5705605547576,17.67486481537912,17.622025536775887,17.564006100002487,17.600848389295844,17.680579831434247,17.684501222149976,17.725410335502332,17.654104903966946,17.819123675002647,17.68950536269252
Trimethylamine N-oxide (TMAO),15.892343113646623,15.78683881213003,15.855503122904343,15.895732417770965,15.636014211943074,15.85430569453376,15.775256867719241,15.970143422849516,15.873615451215256,15.41139810753866,15.21154004724385,15.720222611285672,15.819759229115872,15.684513593619089,15.739869720859554,15.485596952204945,15.814578961298574
Indole & Indole Derivatives,11.963076692298594,12.4613847992941,12.680968210639074,11.943496493904835,11.702843650958389,12.340946079170164,12.14278356094168,11.920416130125773,12.333921229235179,14.011436934231979,13.982027415392734,14.038409773453253,13.619317859213094,14.062219884962548,13.701675753285546,13.07674045472727,14.00541139209626
Cysteine Derivatives,17.55991693952064,17.47252616615611,17.499658563687856,17.485696124900457,17.45146306231632,17.45775016327559,17.46414706842766,17.570222419705456,17.591695704411105,17.59094159870638,17.705060068715643,17.606245746290785,17.551950452583444,17.69771587953608,17.546440562778297,17.492782658833875,17.65756641939567
Bile Acid Pool,15.875980032697454,15.634719035731806,15.72587120332507,15.635942815506665,15.962372337051777,15.884688536815982,15.818563205037602,15.430131372523638,15.764355361800003,15.49831819305537,16.325021586332245,15.769404624071848,15.69075386193187,15.61203782759241,15.90574730470196,16.358569219450665,15.560341642029865
Imidazole Propionate,14.834726155720908,15.071227427826528,14.696799129560842,14.52549838303873,15.538602422731765,14.719207691874105,15.035910528584225,15.61793267894456,15.003011861149792,15.721813025399129,16.60795885025117,15.439133516725137,14.636107611279773,15.495172151583096,15.46152612948212,15.413457808696169,15.766384140097815
Oxidative stress,12.653356389424774,12.485619705300415,12.444694835315534,12.603358990493039,12.842020925800407,12.56932873861849,12.776101252577293,12.386501120824446,12.631363520629035,12.917838847095465,12.88765535798264,13.333881645495524,13.183883459032232,13.25380317549122,12.6269478415886,12.911770214996869,13.606673934734125
Branched Chain Amino Acids,17.112914299472585,16.982285173144774,16.99046303360106,17.02704400001313,16.979785965774884,17.113806047509804,17.046520958337435,17.12170719343873,17.10967128703914,17.11867062314223,17.12299753891396,17.228669498158663,17.199434859688424,17.247499502089966,17.148089374943595,17.330163206885427,17.271736632351875
Butyrate (SCFA),18.11282272164164,18.105583141882132,17.980799383276505,18.04950984160508,18.083026600347804,18.069376876109008,18.053448779369273,18.4272985915413,18.112358836557174,18.231135367641528,18.312209751000687,18.225359867790875,18.11681404502614,18.319948223025847,18.09570097339188,18.175268806806123,18.303811466825138
Lactate,19.306307402875117,19.13195679062493,19.21724657528619,19.262593550847107,19.19162129396635,19.305695289102893,19.247745625755734,19.166980278536112,19.280794655237354,19.155594628479257,19.25195374480066,19.314461750063057,19.31986480211043,19.317762482389035,19.332692656761626,19.46395407312348,19.29150026470017
Carbohydrates,18.518928065622482,18.44297226590141,18.42331511208596,18.433752842056176,18.5363579440515,18.504044932883893,18.467798776435576,18.596256288783795,18.548154377803755,18.619703348682947,18.81968883358326,18.653980300574396,18.561904320418016,18.734729243237272,18.64781753385526,18.78038089547905,18.67285587829706
Proteins,17.639870921060968,17.66649526985869,17.545591327084686,17.53436913847227,17.622793347234573,17.58861200531663,17.563836650048042,17.983003779863456,17.663695810202427,17.894534987803734,17.9837215907864,17.8786683445695,17.774082296656612,17.97929274905236,17.8161262047833,17.903501266842646,17.934668467845615
Fats,16.201734119922303,16.521033828378496,16.164844367036835,16.109387508303826,16.215807740860402,16.191037420446822,16.12542156907182,17.12404557360328,16.300913599602605,16.649822354808713,16.648305835352105,16.61214750368424,16.454624872276508,16.717118043069576,16.454486445261804,16.532500004947742,16.681600554329766
Vitamin B1,17.251523499918957,17.15798228752492,17.213614208824417,17.17911219584858,17.27166468909475,17.225089034218904,17.184104715975003,17.20651043415114,17.263204626512326,17.31598791077617,17.584004388789424,17.358479824323663,17.320618014980347,17.45454938010783,17.379349825296035,17.499750523644945,17.39622975246849
Vitamin B6,17.771111778467546,17.742723668483308,17.716135066288484,17.708280307344825,17.728094460917827,17.74807928268753,17.68821210658185,17.962295990537488,17.774332285779998,17.75308916054935,17.989328052867315,17.856324243637435,17.879979925441557,17.94165503188442,18.07677036862463,18.19003392186949,17.875002953348233
Vitamin B7,16.86565814060927,16.807740438743966,16.74006057934095,16.76489171007675,17.049147415182507,16.86459288532568,16.832505029084984,17.05045255154482,16.916961868987052,17.162091139301374,17.43061037047301,17.095736536250442,16.853065129486893,17.264579303399834,16.956804563898146,17.049955992629645,17.12731911846293
Vitamin B9,18.779426394335186,18.681397556886107,18.61375539304479,18.686461376491973,18.748117570739222,18.765513422946544,18.717191581494852,18.89043712504109,18.787617600191584,18.878641676815818,19.033841933303727,18.89023891098596,18.87219381967546,18.970131196886616,18.927864910907047,19.05279723194433,18.95330148298948
Vitamin B12,16.700747570687653,16.686682915246426,16.687606955970356,16.73016833854575,16.663403910446625,16.731145222213467,16.656644655850258,16.92469563357006,16.721215828727818,16.695591555775575,16.893024456745966,16.904520342637632,16.90228230137023,16.973885308853596,16.76876517255356,16.85673811272949,16.958701713349413
