Report Level 3,BM001077,BM001078,BM001079,BM001080,BM001081,BM001082,BM001083,BM001084,BM001085
GABA,16.752434107606565,15.989406246531464,16.65870169871907,16.938562191843246,16.75982366636441,16.603258196661464,16.55768777999266,16.751803241305602,16.856064162772274
Serotonin,11.86984681317366,10.579375624316626,11.994046513275476,12.296675785458131,12.102899244873669,11.93170986803589,11.880270204009046,12.095004151402023,12.25104574880978
Tryptophan,17.726848701586906,16.932499510083712,17.599504021883817,17.838338313271183,17.606952532945552,17.522336422837512,17.61937450441958,17.780433522813325,17.804514532149103
Trimethylamine N-oxide (TMAO),15.776854767861112,14.820695543060085,15.821106282126578,15.996575217038071,15.667014494056904,15.628883499746898,15.712349124435049,16.112417514311474,16.0621361768282
Indole & Indole Derivatives,12.211648028106252,8.418105597079492,12.29550780249811,12.759807060545217,12.580404620022621,12.501996370055375,13.33127386736265,12.731287206518743,11.950271558233041
Cysteine Derivatives,17.64063379170699,16.7997660058138,17.524239208914153,17.83977314701824,17.61137613182605,17.417651417999416,17.38859677033603,17.669744402340974,17.729318331624622
Bile Acid Pool,15.672048347754508,15.015229912067987,15.830738382599014,16.13155606640117,16.012375310275647,15.748526093574341,15.878900004483935,15.837669444547272,16.072055123399235
Imidazole Propionate,13.982646045768416,13.919444985853442,14.590203016913778,15.671329683356172,15.631033398742604,15.065490186184574,14.23625092818233,14.436642580498807,15.328084434599125
Oxidative stress,12.62800498609331,10.564333674365098,13.080828634185984,13.605645029580444,13.090406884699588,12.792614765214612,12.105019085274911,13.238056369418103,12.524970150449821
Branched Chain Amino Acids,17.16742928649153,16.288389264892793,17.07466665267948,17.352309209352818,17.11362087198821,17.012215318623078,17.109709506261108,17.207450411668784,17.27785589693819
Butyrate (SCFA),18.161036970196342,17.452224466493412,18.05044189471959,18.35931390987796,18.089630402797724,17.951780836141825,17.972879156147833,18.195501222289757,18.280826425780372
Lactate,19.40675777071386,18.606956977860428,19.325055652653777,19.558103714216866,19.323033375753912,19.21731077030357,19.385727853940576,19.51797869718985,19.51660315817658
Carbohydrates,18.699482911024553,17.90543123294728,18.518184751940993,18.887782268242756,18.637406289691047,18.45305865185791,18.494845405356962,18.63077429627807,18.749620704434793
Proteins,17.70324795250847,16.853723558002102,17.63754786908254,17.9186605192798,17.732936214193714,17.57876509774668,17.531910281449107,17.746025390730438,17.828487001179155
Fats,16.324287533273242,15.413527011541431,16.22262423485309,16.524563465789036,16.314383335808028,16.11938562707197,16.230182664083177,16.32843478479025,16.455595956952
Vitamin B1,17.529692246900343,16.962904532011994,17.28043447930813,17.59174897339673,17.336190992420185,17.192752889149876,17.34587148203513,17.410375810269706,17.53844616886412
Vitamin B6,18.003682219691093,17.35852204581819,17.822939675904163,18.077869434016073,17.752634190340228,17.74236329006146,17.908371010914873,18.034389724413916,17.866190307382016
Vitamin B7,17.10904573056203,16.34071325000907,16.784028790449995,17.300586337568575,17.057460722411015,16.769532731150495,16.738193735140573,16.822432036572952,17.15996302941428
Vitamin B9,18.91541777892234,18.143572095438103,18.75229311941861,19.078699220431197,18.922955536189725,18.744742622815245,18.733084263201455,18.82849220176457,18.97693275084796
Vitamin B12,17.092753584133824,16.143595502792515,16.77630992465248,17.098580701103874,16.75880610334237,16.738313068293547,16.7709953154767,16.921613876004738,17.132652233752548
