Report Level 3,BM001251,BM001252,BM001253,BM001254,BM001255,BM001256,BM001257,BM001258,BM001259,BM001260,BM001261,BM001262,BM001263,BM001264
GABA,16.94031847609924,16.760340913488893,16.43610077866458,16.763079820122762,16.502134383668597,16.855726598927244,16.9194823080162,16.759196231933938,16.67187891278666,16.774156133722858,17.058625868860318,16.54562169788495,17.01058894098372,16.85645667384976
Serotonin,12.808513664474765,12.470023297575146,11.867989292811894,12.486176107403658,12.074146280649977,12.91284977007523,12.142620271796677,12.89401435858769,12.484464214618798,12.386490127527022,12.49216800028306,13.88371817475619,14.646297428644127,12.851488231978061
Tryptophan,17.883821783320162,17.686457907193017,17.389193643389124,17.606355530275366,17.470180933147585,17.726625297017943,17.702713121195444,17.658227818016947,17.562309367665655,17.772583906372603,17.75293229547736,17.11100381222817,17.512093793670193,17.69781539201915
Trimethylamine N-oxide (TMAO),15.971256135872146,15.840908942123695,15.20447562367176,15.88274286160803,15.799370674022853,16.039855083069774,15.528707744438892,15.937689674029878,15.69658942106305,15.988961777241625,15.368932004691583,14.93960538312564,14.359496325355956,16.245065016084933
Indole & Indole Derivatives,13.9875686870412,13.880494218365062,12.824998505554941,13.789005782854678,13.442479623846056,14.54712709499309,13.317512954464174,14.343729816505352,13.507377179197364,13.957876520241934,11.908422645332099,15.698195955476246,16.213393231057488,16.13600320527698
Cysteine Derivatives,17.77394350394743,17.658438476216542,17.165452860820768,17.696045761976016,17.504712913254245,17.777058523921607,17.597625853100578,17.67274568890382,17.579915418405058,17.679003158835087,17.740853123175068,17.587162728366334,18.096693250390697,18.106751371999923
Bile Acid Pool,15.90928359166347,15.519083957579964,15.26166633479378,16.058919647468596,15.94221230861912,15.833368954495358,16.489831578910294,15.866932481278193,15.717520333267213,16.22622693292027,16.880995567906602,13.309433009810622,13.704571033071073,13.885693037293887
Imidazole Propionate,15.478938320007838,15.503076207571299,14.695668374700281,15.526662040531143,14.776573192836015,15.646082758289568,16.323792133520982,15.392889362398714,15.682080911161961,15.25081555004029,16.828188642569167,15.73180462303225,15.598431157913177,13.644344527014535
Oxidative stress,12.864211298720845,12.75961359575248,12.375241291325159,13.281134108985844,13.066990593199305,13.228005442556968,12.866673634727649,13.449219591616712,12.856868365696972,13.326816611718282,12.483707470323987,13.670516475733898,14.624157265941502,11.971445371188944
Branched Chain Amino Acids,17.373749700101538,17.178401155212732,16.76253707000362,17.11661613357169,16.993237317755906,17.246040355061364,17.145557290277896,17.180237662148144,17.03139831201892,17.215279276320473,17.190192719319015,16.883104602833274,17.556414870751578,17.33976332186713
Butyrate (SCFA),18.377554807325836,18.227636659351788,17.753835125899077,18.15551673687544,17.940522522139265,18.32286385774547,18.22220673904071,18.224662268273935,18.144903884120936,18.2114223973622,18.492952674629954,17.974311734961276,18.60612242067411,18.21595515984646
Lactate,19.568624370644148,19.341177898702973,19.098894992010266,19.28822927513045,19.160028043715602,19.332718711066,19.34037902299164,19.335099674607847,19.170446703138445,19.551694011662846,19.473184033725506,18.353250707192615,18.61065099306196,19.092216968421287
Carbohydrates,18.871002110754763,18.633168870949532,18.324596378504026,18.669732373384218,18.43304207194869,18.688256844964087,18.792363171505205,18.630979100793756,18.47898318897471,18.75950594827547,19.042511051977424,18.239206680556087,18.75680354691655,18.4608180084971
Proteins,17.94606985450963,17.739489223577163,17.433555217618085,17.772877984422912,17.490702958295962,17.88657209246928,17.86872865840671,17.80732131794661,17.671588047795208,17.768515529749394,18.01500829781689,17.79365827415142,18.331156242163637,17.810853802106273
Fats,16.640110201276123,16.3517833902475,15.974355602664854,16.458034915336803,16.19333693773825,16.54390270564892,16.578508402043504,16.51539758375442,16.263665677927598,16.408686069438463,16.736210918556427,16.551617180211064,17.25012328673001,15.757296459832752
Vitamin B1,17.66707320195596,17.43344369842983,17.17437357792782,17.319743573080277,17.135500390780862,17.473135556981134,17.692355430158095,17.30845058971511,17.240795975642847,17.407251314054463,17.878762715035748,16.974383207530735,17.61707192690423,17.40016905156305
Vitamin B6,18.059311133186856,17.842181068143468,17.904623479919735,17.771527254121555,17.56677333651267,17.900726030822984,18.011281316156758,17.837762163344156,17.71178268710476,17.833474149320093,18.238738855224163,17.287275717887,17.886361075419078,17.767132902932154
Vitamin B7,17.1715773288325,17.02251152265951,16.437095568891316,17.148409023779564,16.82824530962727,17.275354277627493,17.382141333612132,17.05660720356841,16.919382520543206,17.075597109470095,17.704572046185977,17.025291767575695,17.570780124349685,17.545762495424412
Vitamin B9,19.165778822400227,18.965980205406087,18.625701506159686,18.83264443380424,18.61424256704635,18.939415944935067,18.996163007549946,18.855269319364563,18.785987970572922,18.90735016512518,19.120436597519948,18.497592212978443,18.874613976420722,19.006864691934144
Vitamin B12,17.01001633217441,16.96739333101086,16.461715694834467,16.968410229022894,16.804646320198827,17.041917603505148,17.09097816877431,16.902993335404787,16.59130885421745,16.905277242627466,17.18577874297893,16.450924424997417,17.001342730620106,17.36940646178495
