Report Level 3,BM000113,BM000114,BM000115,BM000116,BM000117,BM000118,BM000119,BM000120,BM000121,BM000122,BM000123,BM000124,BM000125,BM000126,BM000127,BM000128
GABA,16.6040892662357,16.679667997748144,16.40128965436179,16.38602076796185,16.64315733206155,16.782706434363746,16.827573504819977,16.30473198975957,16.739869693177972,16.72939783956178,16.84706144698728,16.069025023724794,16.678625541729506,16.70901174871499,16.28007081462006,16.835367667053614
Serotonin,12.61679511469357,12.396817236630413,12.203285870309614,12.041125399470426,12.313733350263819,12.77701316049755,12.272867425210851,11.71913756818468,12.313625009461672,12.435179400713107,12.376144739062969,11.5686051421548,12.429286424727893,12.535305537770244,11.895085743268643,12.487218491215955
Tryptophan,17.566905172512424,17.657048524089113,17.34322843810071,17.33922696342844,17.67990667541844,17.79055351292116,17.845289619900072,17.34555842183988,17.646732153038375,17.692286578902642,17.899029456892638,16.961075376725635,17.688118186509026,17.61629939376728,17.168748732832434,17.856968940981833
Trimethylamine N-oxide (TMAO),15.746907114445317,15.822386598741163,15.528384513946191,15.199979390903586,15.59347107576256,16.23821065512488,15.637834477151404,14.98202251164281,15.820652667922323,15.970066784128601,16.20831191026022,15.061762277429144,15.599990110752739,15.939669425844844,15.509554823159327,16.071750185694732
Indole & Indole Derivatives,13.40582222051167,13.456867738380343,13.356852204799806,14.135771000072276,13.346353055415802,13.405299714697987,12.334147560857769,12.535632603568096,12.65284049257564,14.420170116823067,13.460220376831368,12.068261018051308,13.107253044420988,12.91310071148568,12.108034327661551,12.792802492911054
Cysteine Derivatives,17.560012372233107,17.48537205899259,17.259245173599076,16.906730702136826,17.220581967020514,17.634681802951686,17.56069026898127,17.16195627519065,17.575832988188154,17.4647851586264,17.686449902296726,16.878274639596636,17.459738930283624,17.69525114613193,17.08638852113707,17.665459893463222
Bile Acid Pool,15.505942552669103,15.6859546531787,15.139315720145607,15.728336679236287,15.770858719979278,15.334419949985278,15.676653382990317,15.796125058392247,15.802140193531264,15.489491600602767,15.815423575825168,14.556060831695893,15.817581914729267,15.49847745529146,14.906768957012162,15.710931512777803
Imidazole Propionate,14.57710384278838,13.966829264910917,14.219946951205904,14.396069999281139,14.034105986233858,14.623631568078576,14.70882524188187,13.530186843469684,14.274783370163357,14.457191897758536,13.256454415305477,13.643645788920411,14.51066074552173,15.163192079197216,13.505144128297747,14.760363387269933
Oxidative stress,12.921458516433995,13.020283191280445,12.690002337923252,12.2742412741918,12.874213568940169,13.583248517434175,13.087170543240362,12.276414282228252,12.588544429684253,13.126307612606041,13.276894514496593,12.926191588367576,12.87267359146246,13.115764378571894,13.472442077272875,12.926447354908689
Branched Chain Amino Acids,17.007415586267324,17.12555990906952,16.724046015167225,16.67037013371399,17.17128210730068,17.243325899438254,17.208655286552627,16.841149111451344,17.080365990318764,17.28794487546595,17.43302199598497,16.38737547808086,17.15688338564298,17.046462979695946,16.62551237091796,17.289589126182733
Butyrate (SCFA),18.06550166856134,18.090409206681493,17.846376690404625,17.742664818087462,17.949803257884867,18.281531709471896,18.1809393269436,17.701930020657784,18.181373090024415,18.170950071803528,18.253862985143297,17.46919270708068,18.10361242540638,18.20311486306728,17.639196132284923,18.24315345038467
Lactate,19.27391736152855,19.335103475423956,19.01681210689372,19.129396270249316,19.37240543726282,19.47481368749093,19.58421666291858,19.242240572607724,19.372125515736577,19.429413487988835,19.659553091974452,18.663365335799526,19.378804082227365,19.272251763313463,18.854740071625336,19.48055314636536
Carbohydrates,18.42361882758202,18.51512381319736,18.200470503343546,18.194196360629174,18.469850636175977,18.624576334622464,18.785661944505296,18.18418445985457,18.5761940657855,18.656325522337536,18.77310747931707,17.8736621903458,18.532844916013246,18.517485672079236,18.120068122026225,18.6831251567842
Proteins,17.664684166286673,17.68803746380912,17.42221349453561,17.395716117634056,17.656426859803428,17.830423997676757,17.844781515680317,17.330434519718708,17.72543838285584,17.704351399981828,17.844054781861406,17.034920168065902,17.700778345151377,17.7336893474637,17.24056729928959,17.83023921984678
Fats,16.286144811913438,16.308747683111545,16.010092869342184,16.00591205524446,16.19105837185373,16.498606246935523,16.40084957601398,15.678159134827737,16.322086044793284,16.413718172316152,16.501429794569276,15.586609063182463,16.251616852600986,16.335011435227706,15.805087923960281,16.40258484895393
Vitamin B1,17.131693787289677,17.282789394856756,17.01456959536858,16.90434294408257,17.153175154206885,17.3164406835242,17.50441001843363,16.83208935556939,17.36198098229681,17.4092320303737,17.491182790316255,16.784677513920503,17.26952156871362,17.229978382138945,16.830448786067706,17.491133299070366
Vitamin B6,17.75285723544217,17.884790621841343,17.59940924243251,17.766584259934035,18.043846953182225,17.952436307902133,18.130796016560847,17.527148229496337,17.93663839904556,17.83853556803892,17.90940349480418,17.28483074087101,17.915455397694974,17.697918259089686,17.409764137965755,17.86793756584716
Vitamin B7,16.70151432179305,16.829357543844395,16.55537089885511,16.340496639089896,16.42371089586115,16.957727698890302,17.143332478401835,16.322018595098267,17.025841668993653,16.91204903551106,17.01268476628519,16.171417213758332,16.753093114905106,17.018802462165333,16.40557739425893,17.09710443199668
Vitamin B9,18.67009272911606,18.81372033468977,18.563875395294016,18.575757435300616,18.84626823081271,18.94302112704186,19.033563345963948,18.467554942078795,18.88253199415259,18.937666894466147,19.018667780346043,18.244209494715477,18.815907340022314,18.815269539363282,18.35534422321585,19.050778881558674
Vitamin B12,16.587779219801796,16.85706952991619,16.456404406384916,16.17882513225903,16.449019336876653,16.965066222068334,17.108623806073712,15.571009211072735,16.931207976306677,17.061016616657795,17.246169459485806,15.975131954124278,16.54295359610632,16.982957790878366,16.346515736330243,17.11586874302373
