Report Level 3,SRR9607177,SRR9607178,SRR9607179,SRR9607180,SRR9607181,SRR9607182,SRR9607183,SRR9607184,SRR9607198,SRR9607199,SRR9607204,SRR9607205,SRR9607206,SRR9607207,SRR9607208,SRR9607209,SRR9607210,SRR9607211,SRR9607236,SRR9607248,SRR9607271,SRR9607272,SRR9607279,SRR9607280,SRR9607281,SRR9607282,SRR9607283,SRR9607284,SRR9607285,SRR9607286,SRR9607327
GABA,16.95209800880296,15.742693348324542,16.06732401784538,17.03747457717428,16.724533508053973,16.659294397579473,16.46774182471091,16.975320809417003,15.999930166199142,16.701093426675563,15.482391836476753,16.524936330099457,16.763222085310456,16.39526392615224,15.773936618901628,16.804166828401627,16.813244470201575,16.67822033226345,16.044055181551037,15.703349761042471,16.618155204465936,16.721555081589813,16.7537251278412,16.29700147374321,15.359461352790458,16.98229496101406,16.040245580201702,16.74402963117629,16.09774074407951,16.80175795196896,17.032259550018445
Serotonin,12.478034006291065,10.690391340374402,11.04271901989334,12.385145889073938,12.124135305644668,11.86404326123534,11.945779304443786,12.483448079930723,10.805736860153095,12.19879940977699,9.875285065213047,11.976634967668087,12.30105037106239,11.874574946679429,10.738966565160933,12.177874855687161,12.604602754272603,11.960839856843474,11.2183598642132,10.502277686862252,12.305905132568203,11.817310351883744,12.299911733061622,11.495673379746933,9.554470860489747,12.569168218714934,11.063230308015767,12.206215643113437,11.083321951966914,12.422259022706895,12.63376260579207
Tryptophan,17.60946247023389,16.490585416232193,16.747108333012957,17.66861604207412,17.372943855895315,17.263353054034702,17.08263849018345,17.605545369759405,16.720386301329718,17.42281572161152,16.231718907899953,17.436926464170806,17.412526592759654,17.14996320496552,16.505131595607075,17.647469374233644,17.438849998844226,17.423984664103997,16.851897521386167,16.490251378015483,17.25429809988022,17.463756334806025,17.36771209301299,17.006289200827354,16.12504160690515,17.598222965888,16.766640011559957,17.272626923929657,16.74998255633949,17.455489032752876,17.564137402212495
Trimethylamine N-oxide (TMAO),14.172230593587983,13.456124643776082,12.440786132413237,14.582081985754511,14.869443474350247,14.237751467393778,14.284931069638658,14.428241077396207,14.064124671253218,14.531056086348237,13.287784512498185,15.864468860799098,14.981619901496947,14.754283121803946,13.80419355275076,15.777615430223474,14.887417220686782,14.861365625591901,14.775485798706471,14.246635954780059,15.233591218001255,14.758970607010713,14.71734708862298,15.08804658036343,12.649395409734634,14.811113246575715,14.372448157846957,14.210701780068803,13.888344664556621,14.791311465466729,14.061326466394943
Indole & Indole Derivatives,13.379619337671386,11.854198293683568,11.107302091379843,13.56974526641502,12.503100233718131,13.726274580039126,13.34766565630097,13.65611756511232,10.538150123324904,12.6986308808411,11.21549659823409,11.544756801092628,10.169925001442312,12.047543160005171,10.774251713839352,13.479261133821238,12.293230221500155,11.609866671285854,10.046250940275339,10.3322939496488,14.961275135102682,9.67175334220997,11.052642764714355,12.218684313362168,9.197781863244776,12.771101507347046,11.508750505281446,13.377160360609738,9.783734925176203,13.144631160184026,12.460297180885926
Cysteine Derivatives,17.753464678024137,16.546143202199563,16.78838539994082,17.6847294608704,17.54548386398963,17.345972603740496,17.070910289493185,17.700822625800928,16.803257237257885,17.419933752329467,16.457520870647745,17.757410389582116,17.584967519854107,17.29314607170402,16.592134608188125,17.672622585762586,17.845072177323456,17.580899395549917,17.020138758029358,16.69024419430366,17.23316426924515,17.559049841765713,17.487232728947493,17.19901730568584,16.34562701215377,17.904627060575443,16.93350733307955,17.36271892154423,16.845166486379615,17.561777343702246,17.91090350447526
Bile Acid Pool,16.246481108978205,14.421324235422453,15.043491298662003,16.476585869216322,16.350475923775612,16.369127173818367,16.01027927985153,16.454102378144654,15.041961534970094,15.989055164039483,14.018344510658359,15.138769360943588,16.200259259551302,15.658015760439307,14.510455127143647,15.821533346673679,16.521881958608628,15.953533415536322,14.638651985287927,14.176363682623743,15.911311461340222,16.23309272424304,16.3009268139822,15.629997021088053,13.321606129454977,16.3164628296391,14.717721934922183,16.10995100984578,15.075236785779966,16.303575286468753,16.87220189933482
Imidazole Propionate,16.117848826590382,14.684484193399847,14.53393113143292,15.157751397023427,16.517450510092758,16.538530182570767,16.35969249025659,16.167471069814937,14.601959932452724,15.353192322617398,13.80941177117651,14.698216665563235,16.24349310874249,15.714429422726003,14.630189754448375,15.655861245140484,16.621642207218542,15.394328929624503,14.650573102249739,14.008472392493996,16.339195855116916,15.661846373702927,16.500509854722846,15.607849076262646,12.631556009012172,16.890491580497184,15.075165740424845,15.745166413513758,14.712481861777999,15.98914640220472,17.165844436609273
Oxidative stress,12.369784540990064,10.464361955819276,9.94260247186717,11.238335051172095,11.903344612888144,12.054756922199754,11.693317064928175,11.221971728257408,11.452898438599306,12.184851576666645,10.849084466422404,12.177105954451747,12.835520157977896,11.892970287374178,11.567876858068251,13.218553655525215,12.15108949655921,11.46945017432039,11.820810521906516,10.48198434708803,12.713644269463677,11.97138429548167,12.948454239680302,12.485896386425521,9.686027721972987,11.43798608822708,11.245043573248482,13.615771773127165,12.030670584366723,12.46912200238095,12.090394743340648
Branched Chain Amino Acids,16.88838696228912,15.833697794094768,15.992156634380668,16.925576074342064,16.648670328663215,16.61717763590777,16.425236941902185,16.889309504703718,16.08325229483913,16.800935068468558,15.57420047835063,16.839134634333526,16.772715696824047,16.5276128739105,15.854356671826203,17.02413917114743,16.738249042826453,16.7575265226662,16.26849064686963,15.817437642870491,16.636969412735983,16.815476404733165,16.76026175667426,16.42810790149377,15.38196669413517,16.904718696467462,16.112509283818945,16.724281129697406,16.050995401826917,16.857482173219744,16.865154703292145
Butyrate (SCFA),18.262322726635407,17.218270402153262,17.38704581143249,18.419188521276677,18.1052739206235,18.00079857148995,17.99574823668712,18.410252220620965,17.346790815225372,18.075268415509218,16.850158272626395,18.09116040629673,18.202785356261742,17.74696019631148,17.186383035450202,18.232826319013146,18.225995273806305,18.069152038198194,17.512951634980066,17.14039015861249,18.14444786599678,18.08437949310751,18.172519502036334,17.73885657647983,16.742486113034484,18.370588951974153,17.445657876322223,17.967138059290082,17.460756179877716,18.148097263798423,18.422347870253038
Lactate,19.071582252375126,17.938473315843204,18.09192794599435,19.11735801901119,18.880389673971163,18.793260300462467,18.671974288034786,19.12477671365236,18.231886003341696,18.854708594426604,17.678795500910862,19.094697587335617,19.068264449655487,18.75092228721286,17.946047495682965,19.284245616285286,19.029457781384355,18.92924825251366,18.415761742920125,17.98627752697026,18.923901968189618,19.00729275303189,18.966053558003072,18.70514010315801,17.468000082554415,19.17516524541009,18.236460774776944,18.741256368534195,18.249156012126836,18.997657959330343,19.182904421050896
Carbohydrates,18.799051458592842,17.500828652924916,17.833555045902823,18.811005487545632,18.536804591842373,18.442092248936948,18.295910299431654,18.832211750635704,17.75364391246603,18.515932142276775,17.159864726841217,18.23844879513509,18.608553969238802,18.209138964609334,17.473286295228053,18.545584879569954,18.674058823788524,18.48461324723889,17.726006905399174,17.444192724559663,18.33173565282968,18.570429048679358,18.623291547888737,18.07153247079576,17.028487205734226,18.817932842321824,17.779432327577556,18.562336224377898,17.82002509558192,18.62962721280363,18.960263565998034
Proteins,17.882545338303977,16.603711704042325,16.918806437258308,17.86099362409209,17.672556577492866,17.606865019426966,17.38276771059618,17.858902543079413,16.904953849416728,17.624088542577606,16.34136780144609,17.513908945234455,17.74702631668734,17.383335357003933,16.66441557107569,17.801353291516733,17.788821444823164,17.606819197922636,16.980306336093342,16.590100438369983,17.557991615407946,17.644059081970592,17.69541074936475,17.264624951622814,16.178279996719784,17.94260025616156,16.956536355028874,17.631543081906003,16.998394290139984,17.77326624588199,18.014685861745075
Fats,16.486000576128426,15.007451031370621,15.418662201916398,16.6011398862658,16.24986012568475,16.184485001746516,16.03172177099041,16.55052414382904,15.341001121827208,16.27136037558109,14.636630142783648,15.895616390083836,16.283846968721548,15.866451750329777,15.059859528969852,16.205184113556207,16.352889508838675,16.17951799552927,15.31238606784969,15.014532482121142,15.723979207628426,16.298452702952947,16.266675274989986,15.731221171080577,14.421153060561721,16.49209969689422,15.30482737454686,16.20969324780595,15.43008340842787,16.37243556729278,16.650681543748245
Vitamin B1,17.670570434423546,16.762637817722297,17.037706461136246,17.81145377689194,17.45681463794335,17.361033417398488,17.200333936308066,17.729917497565648,16.896303492713685,17.44769065339549,16.572029091107304,17.131213437762025,17.511681972485217,17.003587030074197,16.69086858870678,17.444998088768592,17.51685067815371,17.41049227785504,16.84977024302684,16.696681443927268,17.12233114888647,17.510782036176142,17.445120809298952,16.917729969754532,16.52866979378915,17.651673455861687,16.909916803170546,17.291742774079417,16.93996738221711,17.531434151736242,17.798706063078484
Vitamin B6,17.877787947387922,17.187716886395123,17.343523915913018,18.101161122704145,17.666318936642966,17.664334170250253,17.524982485210206,17.958616219914862,17.26430917408869,17.794208279326256,17.045258081564317,17.598310984104586,17.854224216134373,17.370388829161215,17.13997470424546,18.023933504310833,17.655429573595452,17.67683908843733,17.305144667766722,17.017085250540354,17.635574178731893,17.866671510556827,17.754139165746757,17.363020845042538,16.962503384911457,17.821112512098,17.27817042271422,17.69462802374397,17.279522123681335,17.866205463458506,18.083362404875942
Vitamin B7,17.78161202860747,16.23077289440742,16.748853784864504,17.8520886273654,17.377358682070614,17.210210355328996,17.076215058803044,17.877658228916268,16.40495852131761,17.428771883707288,15.73487954915284,16.70667916276607,17.29087706430577,16.854223135407327,16.041067674294744,17.078076391828787,17.463517516430347,17.350398751483475,16.27514116158094,15.967085954965514,16.931808786902423,17.36848270854419,17.409018006634344,16.625570045472692,15.724316636146405,17.66522035648202,16.454187446356567,17.476770493847216,16.56821187153119,17.48071878705959,17.74082470932937
Vitamin B9,19.032147986331477,17.923800935389643,18.202521481783524,19.09411500779771,18.80425544593258,18.710701931565517,18.529998078916247,19.054866772158082,18.07360956905096,18.77859138469892,17.580236785708678,18.48735286579442,18.821066305940292,18.461000754518334,17.889428696111523,18.75501916366781,18.904074321161865,18.76871780136479,18.111278078488983,17.875683572907274,18.48511044936349,18.800703202179612,18.81258266803305,18.291776498364317,17.519166697840323,19.058272785288132,18.142869262998694,18.80279164573436,18.18706329021351,18.831789915266068,19.06158362532997
Vitamin B12,16.61151312895677,15.389477127190887,15.739158004740466,17.1337065078848,16.571394740895023,16.526506545818265,16.26684766840584,16.842690177261282,15.856198479856738,16.71992455516901,15.17908768602244,16.73022876648996,16.680658021050146,16.091768995771094,15.384359666802153,16.851923854158237,16.479050077985804,16.632176209170694,15.99686606745394,15.586548182602764,16.714899612513236,16.846716459817287,16.663343683910472,16.320341397558803,14.974924771393715,16.358915997453344,15.666401909424913,16.505044436107895,15.867620986812119,16.876166949846482,17.060933162613026
