Report Level 3,SRR13921700,SRR13921701,SRR13921702,SRR13921703,SRR13921704,SRR13921705,SRR13921706,SRR13921707,SRR13921708,SRR13921709,SRR13921710,SRR13921721,SRR13921732,SRR13921739,SRR13921740,SRR13921741,SRR13921742,SRR13921743,SRR13921744,SRR13921745,SRR13921746,SRR13921747,SRR13921748,SRR13921749,SRR13921757,SRR13921768,SRR13921769,SRR13921770
GABA,16.600838235919888,16.643543933672383,16.757896500652887,16.578684484782254,16.461490270655826,16.482402858625196,16.630679293781107,16.870255989543114,16.4715209339745,16.598477606442746,16.869018895246953,16.77489334585191,16.722808484873887,16.567349450793124,16.471534447922533,16.640596708439027,16.50684254124211,16.67053871142855,16.78838344728359,16.732100282804012,16.524221417773337,16.781021107949826,16.664431685545736,16.802563622000275,16.819005461447844,16.926026450065354,16.788023357348603,16.602994139339707
Serotonin,11.783575458011251,11.548973874605302,11.42825091949103,11.878718177331502,11.609759809234975,11.623584692179357,11.587834744908688,11.860687705142084,11.882677626251832,11.53354612033327,11.68917346969161,11.561939159224716,11.872875920243365,11.873643161475938,11.88541451700966,11.469078720549962,0.0,11.38822350063266,11.409548298003298,11.89326701802695,11.599043570396441,11.721912996392355,11.763027162025184,11.731505296389352,12.419824010495958,11.938305385594177,12.049069045398298,11.51185818403801
Tryptophan,17.727632843864757,17.74261548481094,17.821675040509792,17.615519738918575,17.504013301929284,17.458667989115504,17.746495468568448,18.037850604549174,17.492520460008436,17.687793317072032,18.11866681185343,17.961513079972057,17.767311646334452,17.66503688329053,17.403761902383614,17.735114989865316,17.758341048404144,17.808550990125863,18.10253460083965,17.721619468407145,17.654402759661895,17.966759706979303,17.651286244634942,17.954087710479854,17.751058661111337,18.102281374386095,17.880771251813265,17.526733074326984
Trimethylamine N-oxide (TMAO),16.2100520162031,16.374797185174245,16.38063320686659,16.177109599352434,15.852385154652653,15.995731162535378,15.972381006185826,16.28702459110398,15.88275456163447,16.243759736216436,16.359965529822315,16.265957257751673,16.099577528476164,16.035847037028596,15.794377787959053,16.378385969903086,15.774732504604824,16.191685976567854,16.392148347046682,16.135456391559575,15.96901658093841,16.06600318301543,16.131851536026666,16.265670713984335,16.32647320129953,16.514793249808548,16.112598942164233,16.053962991771144
Indole & Indole Derivatives,12.054807786692535,11.664811690134394,12.40139954505699,12.613881528863722,11.15826254134584,12.033240588199611,11.325625893457474,11.886660643632052,10.712655960263596,9.193254290708213,12.144419260742344,11.777736133406968,11.393712212277322,11.900368720582586,11.996434649136878,11.39995077600398,12.479305349266978,10.921126849430367,11.263216374932938,11.781080984149988,11.435222278850835,9.076494962525478,11.305771069925452,11.262417888301368,13.620607028088102,12.42757998514876,12.494803094631521,11.223235491392472
Cysteine Derivatives,17.65547817518462,17.665172977388554,17.837628906300417,17.58160556206435,17.556187840541497,17.577579105859648,17.547769494353094,17.78250523033718,17.556793295779897,17.781941182768495,17.776310035187645,17.682418287325675,17.74381827072662,17.492764996469216,17.458884564573726,17.72729188988076,17.174638729564716,17.689312457479915,17.796994935926648,17.781555880584584,17.430885785168318,17.67147938210871,17.78369554083986,17.773123388512346,17.633025120490004,17.851704981164595,17.632771930646093,17.693460862320755
Bile Acid Pool,15.420999702044563,15.988141776835255,16.201638263918795,15.071716462663707,15.083815861517346,15.430286906652501,15.689765163049795,16.403375082334367,14.827607428777045,15.603275711723581,16.576779342220384,16.38410218345723,15.971494158043374,15.928909599571424,15.182110124107021,15.649883458510596,16.40734802055577,15.977444842705623,16.21458170868893,16.052634168566552,15.85598069717174,16.22338483847108,16.189148523206843,16.125937978662392,15.131175714648538,16.328556865645908,16.054415129880187,15.814812374604966
Imidazole Propionate,9.982394703460285,8.229876279124081,13.943988464300435,11.462338669269798,13.985181973624753,14.314362319991792,13.168891451269495,13.828393039694614,14.039940308122231,10.98611223915311,11.570149812187939,11.790066039758017,14.289364285887759,12.435781349385934,14.372340450982165,10.66796306639716,10.65067481862678,13.125696524796105,13.190715685100033,14.414785639660517,13.26707633871545,14.442783710079365,13.892550405766102,13.94460409276277,14.100052333069103,12.297886832405831,14.520477497738167,14.763190234391166
Oxidative stress,13.679141741245836,13.215103206142135,13.360084846396058,13.94708349434492,12.550764410200001,13.273301219577819,12.8451064508495,12.888089341491389,12.883099550375848,13.188607899169634,12.765790953643535,13.182073575722848,13.457844690991546,12.794540411208981,13.470096619253823,14.27181072540639,12.088677846463868,13.258951682444017,11.504312515761722,13.88190387044435,12.8685962383494,11.982894956274887,13.8973876131278,13.067252835981407,15.04563055777394,13.53153214360616,14.005672202602849,13.57669572817713
Branched Chain Amino Acids,17.264315742132474,17.274488204962793,17.33024985289367,17.13323799110835,16.849513266032467,16.83387548328466,17.06854535238155,17.440089821548863,16.891973361251537,17.053045487764514,17.4871312329643,17.330281457613577,17.17733125509046,16.989580028440926,16.800515934204505,17.23069660340455,17.057837522045443,17.206817301652308,17.42858407716571,17.20150793015613,17.06703749045771,17.292460851476978,17.139905927388583,17.329199383033693,17.341217477167405,17.561276034795657,17.306709733685707,16.93819495727042
