Report Level 3,BM001698,BM001699,BM001700,BM001701,BM001702,BM001703,BM001704,BM001705,BM001706,BM001707,BM001708,BM001709,BM001710,BM001711,BM001712,BM001713
GABA,16.937528729393797,16.792472945528278,16.861329004909656,16.687322240285756,16.857704535085567,16.897078714222246,16.70541565366647,16.61895640158226,16.83783174502578,16.917085091272366,16.519291775035825,16.77978939811325,16.63518524461603,16.901834088388735,16.664996643524777,16.965835259362013
Serotonin,12.23020499516821,12.169867361367913,12.116392017778637,12.009691827721216,12.054601028313787,12.37424937211351,12.081925399634839,12.159557226362347,12.153109307200697,12.014863621453978,11.607207586970787,12.040994181540675,11.900894461885818,12.280993477684992,12.06944949889448,12.601849466059434
Tryptophan,17.768051020297285,17.61839700342099,17.79498161567739,17.675926080611656,17.72971635185511,17.660170910570084,17.66089950689884,17.45619572597082,17.74320151721476,17.853012692186088,17.541908077797643,17.702707860399602,17.562579308922096,17.712507720627336,17.618138174610646,17.632982038765018
Trimethylamine N-oxide (TMAO),15.513653276001069,15.754933942337102,15.749968127568454,15.720323360618824,15.770622859757477,15.634369213874203,15.772684428485753,15.666164074226032,15.768679028923904,16.004288288599287,15.88928815142574,15.555176565432825,15.663615639651649,15.612425360182286,15.669299765922167,15.200287138048644
Indole & Indole Derivatives,11.636234895253263,12.30808016376028,12.431016974084345,13.213374623656305,12.052201217295996,11.896544326755155,12.1426336087271,12.103500918075122,12.584856830710667,12.029273421208018,11.377563025584156,12.124134239146187,12.17488200162624,11.990735093530148,10.019090284909183,12.879688538004308
Cysteine Derivatives,17.775208105870764,17.56721180078703,17.599687940966565,17.502284661887064,17.785277101596687,17.788123870746,17.55311751375348,17.493717423020268,17.619692166314106,17.804558274621247,17.471821032249828,17.666271694183656,17.420307843887034,17.621753906730394,17.429622027938134,17.48497320911319
Bile Acid Pool,16.38840667297617,15.863993604772787,16.587660480093817,15.764055828062116,15.762884055119681,16.185328147480217,15.764964088153294,15.726084151309374,16.192991065545183,16.27447898402993,15.408692127261789,15.52393480215331,15.94032862514104,16.53211153350551,16.184772408553506,16.629698197916873
Imidazole Propionate,15.674549255680395,15.67726120156376,15.93556548834204,15.113703103380264,15.657124515777564,16.11049962242234,14.478448174567031,15.68004537235867,15.619746180139645,15.643381978011455,13.778267456600888,16.14623028763857,15.161298562907382,16.319014521111328,15.220307279563873,16.64694931218023
Oxidative stress,12.573145375577615,13.09314737215774,12.075772171337082,13.03938917707838,12.389894796593712,12.593631551930013,13.021759620101786,13.329230597252415,12.94624836076822,13.222231402311317,12.202503430474117,13.158383531512648,12.646057617364233,12.860208223340358,13.382896424367546,13.170962504611834
Branched Chain Amino Acids,17.158745237237454,17.09784970555776,17.198314355564392,17.120824028305382,17.109526729124756,17.105185766003913,17.136879298080895,16.886059161568376,17.241377277277273,17.3140047510441,16.970603469633197,16.91214725159631,17.029650910473226,17.19210549760674,17.029009684249168,17.130653376038538
Butyrate (SCFA),18.31771277595773,18.209837278168113,18.307280347059205,18.029488231422174,18.30902702175446,18.286550297785933,18.143581452845492,18.170558891782978,18.194734230390843,18.34385294554712,17.961417738285817,18.25064071569616,18.016222525966,18.341437382687893,18.042410400130617,18.32600856066637
Lactate,19.408289606047372,19.293033837314354,19.60687167834511,19.401459210339784,19.35088785072985,19.327439580224453,19.370820407425573,19.205032562845435,19.386744965078865,19.540050417037666,19.240172723699164,19.408557864973524,19.26941605501422,19.396621324161273,19.28185329460519,19.36601703117654
Carbohydrates,18.828672320549085,18.65422623671944,18.92133922776832,18.64147576602535,18.69165080256516,18.7491536304774,18.56875501316457,18.457179503933713,18.67558358337723,18.814826445467027,18.383154608680652,18.620478271493635,18.503754956052205,18.785774501174366,18.53965305915434,18.90439920880095
Proteins,17.88526595678851,17.752073166197295,17.828462702813916,17.687980957008033,17.80242121812392,17.87657114073643,17.683427713840867,17.612490895606783,17.81224925292004,17.86452361160312,17.464568076900715,17.724353069755523,17.61521245710807,17.871107565982452,17.62755310284724,17.953268442307515
Fats,16.45523146453731,16.321221635372705,16.449260833965514,16.273568446813623,16.33382692788498,16.435832141638574,16.232767318281706,16.114459719812608,16.382315617547537,16.478673746765775,15.983671382768776,16.270138702326165,16.159272883199023,16.471435270190565,16.14028760404394,16.56409902842619
Vitamin B1,17.62389230390023,17.44129017333042,17.572539610563474,17.309978210409884,17.580593358493207,17.461114606668186,17.299054916239253,17.18250253498696,17.446244031376796,17.638732066977177,17.25016125708282,17.323096135342546,17.298892689583298,17.60687321451381,17.26312155483658,17.54606028124502
Vitamin B6,17.945560928856995,17.834959354002333,18.13538692296544,17.9522367479986,17.9961682883632,17.827415495920288,17.895004990376005,17.719467051040024,17.94775569288922,17.960699386307777,17.65341182719489,18.210364448350894,17.749010964978833,17.974495045080754,17.70402886388987,18.061988832387854
Vitamin B7,17.54693169306616,17.22357644962633,17.29788662468514,16.889580095982957,17.28496070165453,17.326719854349594,16.78417558559582,16.970184325134017,17.10237464599294,17.34291486366591,16.706647639846047,16.868861442404313,16.819145707529366,17.38907343390372,17.033895469598804,17.407403549998058
Vitamin B9,19.052528102745388,18.891150398781285,19.08821579309799,18.788831559024313,19.0168051054595,18.993463868961943,18.884750863786905,18.62407033460818,18.943731078052547,19.018017653889054,18.68360784244029,18.995493501851673,18.77830927244638,18.928955160245632,18.708451350246484,18.997112688464995
Vitamin B12,17.018604232480733,17.052743805939244,16.803287939518317,16.93960026647178,16.941863569628687,16.594923070491177,16.851381973065543,16.444687537408726,16.845258872886056,17.277491444472993,16.79507345360002,16.65721895518714,16.701652507505894,17.022820588035437,16.845192491360606,16.912506786362606
