Report Level 3,BM001714,BM001715,BM001716,BM001717,BM001718
GABA,16.850030535181144,16.57014195072594,17.071861358242394,16.87717893317432,16.029552658005475
Serotonin,12.357136262714866,11.690621898152656,12.244190148207966,12.021585250885783,10.86886328911873
Tryptophan,17.82474128473717,17.582022161618823,18.041458309700424,17.637650235542438,17.031309420761012
Trimethylamine N-oxide (TMAO),16.06038963886106,15.602906150558846,15.980956218966046,15.105667111881012,14.566910265263916
Indole & Indole Derivatives,12.457124331540804,11.528043807389727,12.343455015598604,11.25950789456702,10.956637517678086
Cysteine Derivatives,17.794902140566855,17.363855006543478,17.86692217311348,17.60025640868265,16.786558638074915
Bile Acid Pool,16.088589506704622,15.366694964770742,16.86967552746271,16.296371903990888,14.500521058305928
Imidazole Propionate,14.937468841080328,14.550565631625481,16.38903939292913,16.335511319797117,12.772678831114963
Oxidative stress,13.188064382664676,12.910002425262805,12.905007100468726,12.424758548946881,11.720926832763388
Branched Chain Amino Acids,17.299076606213497,17.003320403133934,17.44621064004602,17.010680819233116,16.341870188929775
Butyrate (SCFA),18.30784223953145,17.92013951020792,18.438893106218057,18.10128089132618,17.359130191853474
Lactate,19.51318744093492,19.225051718020506,19.709244510732734,19.257456846327102,18.703633870000935
Carbohydrates,18.804527946307918,18.48011573780919,19.055145912095544,18.73877644704791,17.930824711576797
Proteins,17.822074544714994,17.54454978925315,18.0037355335628,17.837855508001226,16.981027350858163
Fats,16.40783249457186,16.08455992578911,16.648356468246416,16.41959376609005,15.44525587430474
Vitamin B1,17.573188562380658,17.355276163472706,17.814050631933245,17.56362470237263,16.927386963186734
Vitamin B6,17.91285887833761,17.85052387669681,17.992083102964735,17.83196937457322,17.607178417449806
Vitamin B7,17.13439055122484,16.868658843960553,17.68556139330942,17.3763375900799,16.334308084597218
Vitamin B9,18.996149192917265,18.71563969388779,19.13998769181495,19.019375562478096,18.207047404921692
Vitamin B12,16.944842077755037,16.952226518547715,17.47816213179899,16.591603715011253,16.265123277325742
