Report Level 3,BM000645,BM000646,BM000647,BM000648,BM000649,BM000650,BM000651,BM000652,BM000653,BM000654,BM000655,BM000656,BM000657,BM000658,BM000659,BM000660,BM000661,BM000662,BM000663,BM000664,BM000665,BM000666,BM000667,BM000668,BM000669
GABA,16.707973279233567,16.68833436552957,16.702668362903072,16.74779274898685,16.685568924081743,16.59284412271432,16.80013474621609,16.817255236359248,16.57669566028026,16.697725928611316,16.638874709892338,16.734032144858993,16.576455697217753,16.596771598027395,16.569921042736496,16.77180378163057,16.68226292316695,16.472977393814507,16.771083333250555,16.830844770631696,16.71648719415834,16.695412207346862,16.81426030932082,16.680275475122986,16.62053526455597
Serotonin,11.993462615941661,12.012284844051454,11.826540662079081,11.706531459057002,11.752771961098228,11.92532982184454,12.065240482763143,11.972203644257524,12.300949936621626,11.891600393371553,12.04828039988526,11.791865420686314,11.626812447795327,11.762221979553015,11.812134497437505,11.962175525993711,11.797813851819127,11.620130272978782,12.002518360821858,12.24094686061148,11.880782546423353,12.004072045119019,12.224793732738767,11.788701491635354,11.67022169349721
Tryptophan,17.655912296079062,17.70603786968215,17.73625012481573,17.71824589382521,17.70362511232228,17.540670832674312,17.772796822934822,17.84168207232149,17.38188104912914,17.59816562512331,17.434743900345218,17.859280781293524,17.63706244308552,17.691039776821302,17.534445680338287,17.730183764261202,17.716795686105893,17.46534130332418,17.72708385656617,17.701847397575587,17.73043966255666,17.662491300618253,17.789553166050847,17.69341807514359,17.682186372154078
Trimethylamine N-oxide (TMAO),15.570092874188056,15.652866254837072,15.918518311076314,16.0568286225119,16.02820372034681,15.960728256965735,15.196796127378393,15.682181247938113,15.775821927031703,15.359044303706263,15.609299958224668,15.951172455445588,15.86792710202319,15.858863705309327,15.4899764980386,16.052454274463173,15.9755734967468,15.58928627219926,15.691021009485741,15.508060909782051,16.184780252351736,15.92298757257711,15.99686315090069,15.870285723701851,15.974020609281402
Indole & Indole Derivatives,11.003047009313466,12.482344122759974,11.854030722647328,11.0749241600444,11.531166989907295,12.51576635445232,11.581285333060672,11.854646353170198,12.545678843779871,12.706839167720352,11.402905469046281,12.207737317336338,12.096955583626812,12.583686898858943,13.085245049150682,12.429602888672637,12.874597192401634,11.931321097046931,12.38082629235589,12.861738298613693,12.0364037384076,13.05140099285742,13.412733900376322,11.983107617225565,12.139138820772391
Cysteine Derivatives,17.372935625731188,17.339175216800008,17.598536899677207,17.709725702421924,17.66519436966532,17.540768613058752,17.47586862980096,17.603321400299052,17.42608575006979,17.44836166598056,17.386030428976625,17.553168899478326,17.448834585734566,17.43137130741566,17.312571691727804,17.683986164240693,17.64431114461148,17.35719523849074,17.536946686399773,17.59811129751233,17.652458246980153,17.526360342487326,17.673260277211064,17.62204029089466,17.49275762796087
Bile Acid Pool,16.314173055861904,15.996019816752323,16.101689507506947,15.755679389491512,15.667101421658037,15.689692419789445,15.915927799222256,15.902438122665258,15.808297307128752,15.962943324922426,15.522158517350539,15.832955266165426,15.515008627715407,15.565551511413648,16.220056221106958,16.08225582129046,15.733862587311478,15.301677842230333,15.919373371897374,16.276703657557324,15.44276227310863,15.940735468693076,16.088999878908727,15.727863566513042,15.874285831554856
Imidazole Propionate,14.924570670506176,14.662842282768123,13.904174853997517,14.805495681063103,13.862147207380419,13.997940982679342,13.910081787787137,13.651994943892564,14.890207267397326,15.911483899608436,14.522255797007677,14.083994483574019,12.948810084127786,12.564335294092377,15.102869423569667,15.11435943551639,14.234604408352482,14.02718896204048,14.341792144976889,15.50360547296827,14.543398817140675,14.70978207729133,14.70553592010336,14.25279993975428,12.783587612018469
Oxidative stress,11.964089312920878,12.675236674050216,13.23457596901252,13.017014842180863,12.8056008045163,13.367867460929858,11.952050779340508,12.561677759109743,12.039613667558378,12.491954106493134,13.850280939948659,12.253942007364484,12.739867084515895,12.80809741297873,12.283662335352004,12.939129220154602,13.115211130959858,12.771881452940285,12.474260274056029,13.14831080572287,13.216428081740956,13.13209856286589,13.195354781140976,12.495954933056726,13.165069236445937
Branched Chain Amino Acids,17.099306712078498,17.21723642843003,17.2060855104105,17.153638450107238,17.131442858676852,16.976038567200163,17.156562946838953,17.262716944134475,16.781566804296343,16.969096424128796,16.95200326498893,17.23533764569325,17.1019041866911,17.16024813883865,16.87360563883917,17.22118118629565,17.1695900918964,16.91271831121744,17.200589360031213,17.141719732861556,17.16901017785647,17.17410429971484,17.285046281461685,17.14709052019184,17.160541729949077
Butyrate (SCFA),17.975520986974253,17.996663658011954,18.012982424662685,18.18398823330758,18.12643636972088,18.025986738362526,18.113553014055437,18.142295839111743,18.104617039481187,18.033821529387787,17.90516657206168,18.175284951391863,17.995825312654535,17.995795696391273,17.953285556353674,18.22427103292024,18.09745514000872,17.889305275550896,18.08502766892176,18.186503917256683,18.17733352598509,18.110699220259022,18.230029742038397,18.134025644262202,18.0297346071535
Lactate,19.393816871868097,19.385636747719662,19.414323420952634,19.42178537941061,19.382733347022985,19.300496538189897,19.428831127160983,19.512108032677336,19.25100065971759,19.241347620761836,19.058914617313707,19.58884149780457,19.336604321132143,19.38426222033203,19.309477847321734,19.441890823084563,19.41099365873532,19.113587242013775,19.439052330103127,19.56605156296053,19.436892235474257,19.383816415077824,19.526265713588135,19.457171019371806,19.470660510507198
Carbohydrates,18.592326860199744,18.56399178374766,18.538341825248445,18.583696267367298,18.51043443874904,18.437948917174204,18.724147954406895,18.744229428665836,18.37038804155648,18.615015875428057,18.51613367786907,18.704475940965228,18.469048295186887,18.478019512720458,18.544717829472322,18.646697541005047,18.56062549852234,18.356312145621903,18.625020627042414,18.82414992935887,18.555193330194058,18.584298882160443,18.695723190481534,18.66439341546893,18.562466607243966
Proteins,17.691912807435518,17.670597595568626,17.679335006928614,17.713708215662024,17.64479942786938,17.55710840870808,17.772512723375574,17.79015321234848,17.579043435932952,17.659681857667973,17.559790069642602,17.715019989489303,17.526108662172692,17.576047273671676,17.51075426032524,17.74758630461406,17.654139853881848,17.43362887847429,17.740740263422904,17.849416527125427,17.688692643886554,17.66559045469945,17.79846728824261,17.63959574549003,17.599968025727588
Fats,16.270819150156477,16.20617474277547,16.17280071786147,16.216251102866988,16.181715313345794,16.13743676041627,16.342695371603885,16.390460151722902,16.109946391641135,16.25317027444063,16.15660498483394,16.342437730897796,16.09440547010923,16.161329070642523,16.156432954183824,16.403572545605968,16.200869999066214,15.981187704001165,16.278239935692483,16.46150694200345,16.20569698889474,16.336992643059933,16.3940436218132,16.239399442018925,16.203447842526327
Vitamin B1,17.331028171114585,17.38407783824526,17.22444915803099,17.494957161005583,17.43214772662227,17.15802218196256,17.518924027399613,17.57174455305537,16.867070650649893,17.438576829812543,17.243335019448008,17.577005098069897,17.341422788054267,17.340697396444543,17.222051255476295,17.47514225621011,17.330779216787107,17.22704980729826,17.39350148353851,17.427848754054676,17.447629724450618,17.39504950330101,17.40441420538323,17.426067624735357,17.353070200970063
Vitamin B6,17.862091861287396,17.961061853540517,17.87937864810762,17.907896568032807,17.89380998686798,17.66174844137337,18.125556899384684,18.14337998763426,17.551488568202405,17.837760208027518,17.657661687396466,18.169889558822266,17.885601352595387,18.000501826880456,17.680967678562013,17.95622096627223,17.840486499903143,17.70079027038433,18.074252587624695,18.114401456023902,17.941821724681382,17.787241986836907,17.97965884564489,17.960935424455293,17.944920869245504
Vitamin B7,16.773649559979486,16.69188360327019,16.831765597329365,16.96278022956477,16.882626094921,16.737294499770133,17.25268937862412,17.192167025939977,16.552050422587502,17.13631709371199,17.00864816114021,17.02626388232817,16.646831088191846,16.57608160317577,16.939807222823433,17.027849240725374,16.917469319645317,16.675660234709394,16.863800869838883,17.147463678798378,16.876607220095018,16.871983471334918,17.015683833841937,16.820665231466766,16.60939391121308
Vitamin B9,18.867105654976836,18.929869864694012,18.83039130763288,18.875342959457715,18.83103615100711,18.728674244334123,18.949907991409155,18.96381043641086,18.506869815423507,18.799339281746178,18.707528272253953,18.867522201407578,18.785656848356666,18.78000605254897,18.65493265331866,18.821794459650867,18.775136844494405,18.63141216169774,18.9117237172441,18.886299758821885,18.851177263631296,18.835948881165514,18.92995130805944,18.848605812786026,18.80943009968505
Vitamin B12,16.558447452627227,16.717914510480323,16.968096908575845,17.08029844950795,17.085947828500075,16.932147803578484,17.04711596589183,17.16025429885785,16.186656572352856,16.946998269368596,16.64180683775152,17.270392271627887,16.867316159368347,16.88024331679138,16.7848548188228,16.97285706989947,16.994176412974678,16.83064400444253,16.739397451123537,16.982738641447387,17.02636710894742,16.905997463801736,17.005677894944213,16.815211231209748,16.72145086952756
