Report Level 3,BM001086,BM001087,BM001088,BM001089,BM001090,BM001091,BM001092,BM001093,BM001094,BM001095,BM001096,BM001097,BM001098,BM001099,BM001100,BM001101,BM001102,BM001103,BM001104,BM001105,BM001106,BM001107,BM001108,BM001109,BM001110,BM001111,BM001112,BM001113,BM001114,BM001115,BM001116,BM001117,BM001118,BM001119,BM001120,BM001121,BM001122,BM001123,BM001124,BM001125
GABA,16.81729818884549,16.64135514711575,16.636862812361628,16.746596206506297,16.7514519839225,16.35487901322285,16.606911462455017,16.767750307077986,16.469180903724503,16.7016893819547,16.761045270736467,16.14593124652335,16.51283508564598,16.786341991623114,16.69452843534296,16.34133184626089,16.81681284791794,16.40829776843589,16.705218928770414,16.70816286469159,16.41571501620125,16.65081260724605,16.679945916103794,16.756467390507616,16.551866726503988,16.5012923884964,16.609669534350346,16.60625000069237,16.88637054895477,16.72119457954311,16.829379739645447,16.903354805304154,16.842956358229216,16.887784965935015,16.79799360889613,16.689401714481054,16.85344394398567,16.63853482577439,16.615659454311416,16.75087012405029
Serotonin,12.841953567365598,12.487115791957898,12.200508276878661,12.343669670114794,12.489012701253497,11.704313792331709,11.940661637461107,11.957895269441986,11.694393845315995,12.042959010367817,12.658283593382725,11.156409384335648,11.96958391600935,12.016160147841932,11.70635998734923,11.463038556906117,12.197430470175014,11.49730987647028,11.901488685257478,11.89337085744234,11.615989024636727,11.977490372738863,12.041817271382351,12.082491607479428,11.737642022907897,11.777151075681923,11.961874083850455,11.963709279706684,12.854957107834936,12.600572152806636,12.476073118300663,13.209683733692307,12.261209072431697,13.31816591712173,13.239148213424533,11.818131484569939,12.043753883858175,11.834455050676132,11.958992742803902,12.078681311000077
Tryptophan,17.766840931676043,17.480491076198263,17.673501513402673,17.64248005426007,17.604726745837848,17.37028589707385,17.601281792709624,17.635775263660758,17.359673072092022,17.53989866989801,17.678270836111867,17.081929117366986,17.442847644973213,17.69865867307989,17.545122897835363,17.260876545935165,17.577112542907653,17.347311705702523,17.628515217497906,17.66375867405541,17.356953417502407,17.56737554384674,17.632886183184674,17.703959406657074,17.512478692912147,17.43793465429865,17.572859936562867,17.505496699774465,17.757234244223948,17.629975165206456,17.701020104065947,17.77658654131589,17.77155886993285,17.633215451380476,17.62084860975191,17.613547584763182,17.66714053736981,17.5456371888206,17.516952975487694,17.70286027706765
Trimethylamine N-oxide (TMAO),15.695803829839148,15.494835276141043,15.868799409749116,15.783321591823599,15.109327500093839,15.330013861064828,15.964230973641317,15.52836192478337,15.16116180757109,15.418548054713204,15.58460231033192,14.733151468546609,15.09589764275532,15.825867594638902,15.415771802121117,15.389302958372733,15.310748737901026,15.460780952430829,15.78416629229394,15.772104732731917,15.330680236559232,15.704796332311862,15.739483708863723,15.697615398507214,15.657923260898302,15.53953567565594,15.835471888467485,15.539886701249326,15.81174821445484,15.781214975671814,15.702963201585302,16.00940066923478,15.879724430017935,15.390921955045982,15.773301500782921,15.555496845051188,15.52578841448157,15.658617629935863,15.216839054497049,15.767317537460041
Indole & Indole Derivatives,14.1701191009987,12.661098891638447,13.408540715509314,13.110506147413139,12.661920579135087,12.982416095999847,13.004469790800034,12.28757387417716,12.181931797416244,12.201679802238472,13.800140546544524,13.067667956255397,11.734125312022698,12.598406149790538,12.238676413348136,11.38381227458861,12.536426934179003,11.935319773665416,12.265711730767716,12.318472198389742,12.090823665034005,12.368825630662528,12.603934600034727,12.756637628190488,12.170294394284277,12.696902342756898,12.532499603156818,12.06060812454203,13.685175843812798,12.779288451836115,11.819600332065537,14.561869655993707,13.10281393642899,15.029747918447764,14.676114653755597,12.228599263939095,12.304553820989742,12.291087220936717,12.265099287514737,12.758797845987457
Cysteine Derivatives,17.66752880189827,17.490854338728024,17.535059843367442,17.62351126906955,17.513519336230804,17.07886811909318,17.522030531205907,17.50453776563231,17.213464582520288,17.4451542800302,17.565294186839512,16.86447688922534,17.12229323325161,17.602904048861912,17.441027683452738,17.181912430470476,17.521773190884897,17.230558342942373,17.55618665779232,17.499269780684212,17.16580336460764,17.453045581242787,17.470699747934717,17.51690846048098,17.366527264564922,17.317508626532252,17.534831256043482,17.351937041050945,17.715596861046418,17.574545352935573,17.647074611440384,17.79118731320787,17.759572897234563,17.69442363467784,17.621176330700827,17.46789929990586,17.590202510970336,17.447109643512185,17.314782348081142,17.527158418494395
Bile Acid Pool,15.656843102644675,15.779590225901748,15.831612433173968,15.69552179852259,15.943938605621815,15.281157594512099,15.91884181279608,16.08517138219335,15.520193709171624,15.968086588410701,15.755091514705958,15.186946993004845,15.868927546557858,15.930586741017358,16.29110701150795,15.206011209981982,16.2796709701557,15.555184206232882,15.839348852570465,15.976795007743657,15.52071673310092,15.803617050220502,15.942847558640342,16.092501971395762,15.66733486635891,15.629286458902405,15.554403586804105,15.793021542059007,16.12005609101313,16.116330456216456,16.04164418051873,15.683858987359375,16.002821496998397,15.677155978793092,15.714425709113655,15.968928073533908,16.258427922352258,15.844156510045517,16.043586134201416,16.019737092630162
Imidazole Propionate,15.834349569315277,15.698592537795053,14.385004939182418,15.061017285595904,15.989549281436089,13.527641523537916,14.415303401227323,15.710142929796111,14.868822554774999,15.293249386271341,15.37339989917268,14.054963200516555,15.175807339951389,15.422546199764032,16.031753747996376,14.265645810368332,16.315039030907332,14.534128980039661,14.972910098982867,15.023376072656395,14.19645970944984,14.66486945329981,14.591660637175366,15.18598782017189,14.485978952884428,14.693151149880253,14.65303798775792,14.765927656944216,15.740927033436753,15.447200989395125,15.281477788514044,15.443700964487858,15.395670907875338,15.924246520702608,15.894780667799997,15.053100583086133,15.910221256751997,15.073615244822125,14.980689411059485,15.002089504571355
Oxidative stress,13.047388086568708,11.988272835115483,12.91671982867564,13.144862142915734,12.624135173585247,12.458721879941994,12.878829409177737,12.705459599165401,12.379866574991569,12.928634955703428,12.881397595246074,11.90325045321489,11.927814991767304,12.746761334224699,12.64102363220487,12.697985462039826,12.817389424123512,12.349066467483054,12.766396393209694,12.768861814593714,12.335587623053485,13.059297136405856,13.069300941965283,12.890413118529638,13.027284011200953,12.887179996251875,12.943423838658152,12.954763987172019,12.766198280708704,12.654651690454875,12.204660790289253,13.322722020842537,12.513743211906926,12.7869468450418,12.896070617299207,12.678658078998259,13.017385511319171,12.995395601999784,12.681621285795377,12.912324269797194
Branched Chain Amino Acids,17.252158915641527,16.9375033654109,17.098206280173205,17.106109095881173,17.085274791896907,16.831046992578663,17.123257949280497,17.09112473562131,16.761340382084736,17.0089248275421,17.13567555570041,16.358181281900233,16.92031466476006,17.188993110875536,16.949379902086328,16.712032906440278,17.058843461540366,16.79436462910272,17.065818814359982,17.12942111396852,16.786390630050118,17.042067090108002,17.11421364939186,17.162445125896,16.96693628997066,16.929048038421275,16.985164625501756,16.981139305189455,17.256087371670095,17.090472083827663,17.156281022342345,17.30001957440203,17.18784884206088,17.127704843387335,17.126781963801854,17.03115894883382,17.082425626700804,16.98196808670103,17.000035001484513,17.161526726356314
